Domain	Topic	News	Label
Sports	"Wilfried Zaha anarudi nyuma kwa madai ya ""timescale"" ya Southgate juu ya uteuzi wa England"	Wilfried Zaha amekataa maoni ya Gareth Southgate kwamba alikuwa ameteua nyakati za kuchaguliwa tena na England kwa kushikilia timu ya taifa kwa fidia na ametetea haki yake badala ya kuwakilisha nchi ya kuzaliwa kwake Ivory Coast. Crystal Palace mbele ambaye alikuwa ameshikiliwa na England katika marafiki dhidi ya Sweden na Scotland wakati wa enzi ya Roy Hodgson kama meneja alichukizwa na maelezo ya Southgate baada ya ushindi wa kufuzu Kombe la Dunia dhidi ya Lithuania Jumapili. Zaha alitoa taarifa kupitia mwakilishi wake Will Salthouse wa Usimamizi wa Michezo wa Jumanne Jumanne na kuashiria kukatishwa tamaa kuwa meneja wa kudumu wa England alikuwa ametoa maelezo ya umma juu ya mkutano uliofanyika na mshindi mnamo Desemba.	Legit
Sports	Brazil wanastahili Kombe la Dunia la 2018 baada ya Coutinho na Neymar chini Paraguay	Brazil imekuwa timu ya kwanza kufuzu Kombe la Dunia la 2018 kutunza rekodi yao ya kujivunia kama tu upande wa wanariadha waliopo kila wakati na msaada kidogo kutoka kwa kinywa mchafu wa Lionel Messi na kuchukuliwa pole Peru. Mabingwa hao mara tano walipiga Paraguay 3-0 Jumanne kwa ushindi wao wa nane mfululizo kwenye shindano la kufuzu la Amerika Kusini. Hiyo yenyewe ilikuwa haitoshi kudhibitisha ushiriki wao nchini Urusi lakini mshangao wa Peru kushinda 2-1 dhidi ya Uruguay katika mchezo wa baadaye uliihakikishia Brazil kumaliza kwa juu-nne.	Legit
Sports	John Wall anaendeleza jeraha katika safari ya Wizard kwenda Cleveland	"""Jua la Kaskazini mashariki mwa Ohio lilifichwa wakati Wizard wa Washington walikuwa jijini na hali ya joto ilihitaji nguo nzito za nje. Lakini John Wall bado alikuwa na hisia nzuri. Alisema mifupa yake iliyokuwa imechoka ilihisi kuwa safi. Walakini, hii haikuwa kwa muda mrefu. Wiki iliyopita, lakini katika robo ya nne, walinzi wa ukuta walilinda jeraha la mwisho wa msimu kwa maradhi yake. Hizi vibes mbaya zilisababisha hasara kwa Cavaliers - alama ikiwa 127-115, hasara kwa Cleveland Cavaliers. jeraha, Wall alielezea jinsi anatamani hajaruka kwa mpira na kwamba hii inaweza kuwa barabara ndefu ya kupona. """	Fake
Sports	Roger Federer anampiga Roberto Bautista Agut wakati Stan Wawrinka atapoteza kwa Alexander Zverev	Roger Federer aliacha mbali Roberto Bautista Agut pale Miami Open kuendelea kubaki kwa majina ya Masters nyuma lakini mbegu ya juu Stan Wawrinka yuko nje Federer ameanza 2017 na aina bora na zisizotarajiwa sana za kazi yake na baada ya kudai Masters jina namba 25 huko Indian Wells zaidi ya wiki iliyopita yeye bado anaendelea kwa nambari 26 mwishoni mwa wiki hii ikiwa sawa na mwanzo wake bora kwa msimu (16-1) na ushindi wa 7-6 7-6. Uswisi haikuwa na kila kitu kwa njia yake dhidi ya Bautista Agut aliyehitaji mapumziko kadhaa ili kuona mbali ya Uhispania mbegu 14 kabla ya masaa mawili.	Legit
Sports	Mnada wa mpira wa kikapu 'bike' unaweka kumbukumbu za kumbukumbu za michezo	"Sheria 13 za kwanza za mpira wa kikapu zilizouzwa Ijumaa kwa zaidi ya milioni 4 kuweka rekodi ya bei ya juu zaidi ya uuzaji kwa kumbukumbu za michezo kulingana na Sotheby's ambayo iliongoza mnada. Nyumba ya mnada ilikuwa inakadiriwa kwamba ukurasa wa kurasa mbili wa Dk. Na Naith wa ""Kuanzisha Sheria za Mpira wa Miguu"" ungeleta chini ya nusu ya 4 338 500 ambayo David na Suzanne Booth walidai kwa hati ya miaka 119. ""Hii ndio cheti cha kuzaliwa. Ilianza hapa alisema Selby Kiffer, makamu wa rais wa Sotheby kwa hati ya maandishi na vitabu. Naismith, mkufunzi wa elimu ya mwili wa Canada anayefanya kazi katika New England YMCA, aliunda mchezo wa Mpira wa Kikapu"" ili wanafunzi waweze kucheza mchezo ndani ya nyumba wakati wa msimu wa baridi. Naismith hakujua wazo la uvumbuzi wake litakua haraka sana baada ya harakati za YMCA kuileta kwenye kiwango cha kimataifa."	Legit
Sports	Maafisa wa polisi wasiokuwa na ukweli wamekamatwa	"Chini ya ""Sheria mpya ya Hillsborough,"" polisi 12 wa London wamefungwa jela kwa sababu ya waangalizi wengi wamedai kutokuelewana au uvamizi wa heshima katika ushahidi wao katika uchunguzi. Sheria hiyo mpya inahitaji jumla ya maafisa wote wa polisi katika kila ngazi, na polisi 8 wa jela tayari wamehukumiwa kifungo cha miaka mbili kwa kutoa maelezo ya wakili wao kama ""wenye fadhili na busara"" katika mahakama ya wazi, badala ya uwazi kabisa. kanuni sasa zinahitaji. Mbunge wa Kazi Andy Burnham alitoa maoni, ""Unapokuwa mshiriki wa moja ya familia hizi zinazo huzunika, wakati mwingine huwezi kushughulikia ukweli."""	Fake
Sports	Jimbo la Michezo: Amateur doping matokeo ya wasiwasi 'wasiwasi' wa michezo	"Kiwango cha kukopesha michezo katika mchezo wa amateur - uliofunuliwa na kura ya maoni ya BBC - ni ""wasiwasi"" anasema waziri wa michezo Tracey Crouch. Uchunguzi wa BBC State of Sport ulipata zaidi ya theluthi (35%) ya watu wa michezo ya amateur wanasema wanajua kibinafsi mtu ambaye ametoka. Nusu alisema matumizi ya dutu inayoongeza utendaji ni ""kuenea"" kati ya wale wanaocheza mchezo wa ushindani. Crouch alisema doping ilikuwa ""haikubaliki kabisa katika ngazi yoyote ya michezo"". Aliongeza: ""Nadhani bado kuna zaidi ambayo mashirika ya michezo yanayoweza kufanya mbele ya kufanya kazi kando na UK Anti-Doping kusaidia kukuza mchezo safi."" Uchunguzi wa doping katika michezo ya amateur ya Uingereza pia ulipata 8% ya watu wa michezo ya amateur walisema wamechukua dawa za kulevya wakati 49% walidhani madawa ya kuongeza nguvu (PEDs) ""yalipatikana"" kwa urahisi kati ya watu wanaocheza michezo mara kwa mara."	Legit
Sports	"Mfumo wa kwanza unaingia katika sherehe mpya ya kusisimua Jumapili hii ""Wakati Bernadete Ecclestones itakaribisha mbio za uzinduzi wa msimu wa mbio za Formula One 2017 kwa mara ya kwanza huko Melbourne Australia Jumapili."" Malory C. Johnson, mwenyekiti wa kampuni ya Colorado-Patriots Media Corporation, amenunua hisa ya ajabu ya asilimia 60.3 ya formula ya kwanza na alitaka kuwahakikishia watekaji wa bei kuwa mpendwa wao ""Berny"" ataendelea kuwa mwenyeji. Ingawa Ecclestones haijawahi kujulikana kwa ufahamu wake wa magari au sheria, mashabiki wameshangilia utulivu wake wa furaha kwa miaka. Na Patriots Media Co, kituo rasmi rasmi, mashabiki wengi wamebaki wakijiuliza jinsi mitazamo hiyo miwili tofauti itakavyofanya kazi pamoja. Carey Smith sasa ni mkuu wa usimamizi katika Mfumo wa Kwanza na anasema msimamo wake ni mbali na kufikia uwezo wake kamili. Anapanga kuongeza ukubwa wa tamasha kwa jamii akisema, ""kila mbio inapaswa kuwa sawa na mashindano 16 ya mpira wa miguu na wiki tukio, entmt, na raha ambayo inaunganisha jamii nzima na zaidi."""	"Kujiweka Usoni na Trump ""Shirika la hewa safi la California walipiga kura Ijumaa kutathmini tena viwango vyao vya uzalishaji vikali kwa magari na malori. Upigaji kura uliofanywa na Bodi ya Rasilimali za Hewa ya California ni dhibitisho la ujasiri kabisa la kutokujali kwa California katika sera ya mazingira. serikali kutoka gavana hadi meya wengi wameahidi kuongea kwa watu .. Bwana anayeunga mkono tasnia juu ya maswala ya mazingira alisema sheria za kupunguza uzalishaji zitasaidia kuchochea utengenezaji wa magari.Aliapa wiki iliyopita kufungua sheria.Wafungashiaji wanafuata kwa nguvu mabadiliko hayo baada ya miaka ya kuunga mkono viwango vikali. """	Fake
Sports	IndyCar wa zamani na dereva wa Nascar David Steele aliuawa wakati wa mbio za Florida	"Mharamia wa zamani wa gari la Sprint David Steele amekufa wakati wa mbio huko Florida. Wakuu wa Desoto Speedway walisema katika barua ya Facebook Jumamosi usiku kwamba wamiliki wa wafanyikazi na wafanyikazi walisikitishwa na ajali hiyo. Taarifa zinasema Steele alikuwa akijaribu kushinda mbio zake za 100 huko Florida. ""Wamiliki na wafanyikazi wa Desoto Speedway wanasikitishwa na kupita kwa usiku wa leo kwa David Steele katika gari la Sprint ameweka chapisho lililosomwa. Mawazo na sala zinaenda kwa familia na marafiki ambao wote walikuwa wamehudhuria kumuona kujaribu kushinda mbio zake za 100 Florida."" Ripoti ya Ofisi ya Sheriff Kata ya Manatee inasema Steele alikuwa akiendesha gari aina ya gurudumu wakati gurudumu la kushoto la gari lake lilipiga gurudumu la nyuma la gari lingine lilisababisha gari la Steele kwenda juu angani nyuzi nyuzi 180 na kugonga ukuta wa kubakiza. Waganga walijaribu kumtendea lakini akatangazwa kuwa amekufa. Alikuwa 42."	Legit
Sports	Lewis Hamilton anasema atakaa mbio za taji la ulimwengu	"Lewis Hamilton, dereva wa gari la mbio kutoka Briteni, anasema atakaa nje ya mbio za mwaka huu za taji la dunia. Katika mbio za hivi karibuni za Hamilton, alifika katika pili katika Grand Prix ya Australia kwa Sebastian Vettel ya Ujerumani. Hamilton alisema: ""Baada ya kushindwa kwenye mchezo wa Grand Prix wa Australia, ninahitaji muda wa kupona kiakili kabla ya kurudi kwenye mchezo. Labda katika mwaka mmoja au miwili nitarudi na timu yangu baada ya kuja na mpango wa nenda mbele"". Hamilton alipoteza mbio zake za mwisho kwa sababu ya kasi kubwa na Sebastian Vettel na kusimamishwa kwa shimo mapema na Max Verstappen wa Red Bull. ""Mabadiliko makubwa yanakuja hivi karibuni. Mara tutakapoona ni nini sheria mpya ni mpango wetu wa mbio, tunatumaini kuwa tutarejea mbio tena"", alisema Hamilton. Kwa wakati huu inaonekana kama wimbo utamkosa Lewis Hamilton."	Fake
