Domain	Topic	News	Label
Entertainment	रैपर विज खलीफा ने पाब्लो एस्कोबार की कब्र की यात्रा के लिए नाराजगी जताई	अमेरिकी रैप कलाकार वाइज खलीफा ने कोलंबिया की अपनी यात्रा पर काफी विवादों में घिर गए हैं। मेडेलिन में एक समारोह में प्रदर्शन करने के लिए एक यात्रा के दौरान सेलिब्रिटी ने अपने इंस्टाग्राम अकाउंट पर तस्वीरें पोस्ट कीं जिसमें उन्होंने कोलंबियाई ड्रग लॉर्ड पाब्लो एस्कोबार को श्रद्धांजलि दी। रैपर ने कब्र के हेडस्टोन पर रंगीन फूलों की एक तस्वीर पोस्ट की। Wiz Khalifa ने उनकी धूम्रपान की कई तस्वीरें भी पोस्ट कीं जो Escobar की कब्र के पास मारिजुआना प्रतीत होती हैं और साथ ही उनकी एक संपत्ति के बाहर पोज़ देते हुए - 80 के दशक में Escobar के जीवन पर एक बमबारी और प्रयास का स्थल - पूर्व के स्वामित्व में दवा के स्वामी जो 1993 में मेडेलिन में अधिकारियों के साथ गोलीबारी में मारे गए।	Legit
Entertainment	हम सभी जानते हैं कि दाईं ओर टॉमी लारेन क्यों नाराज हैं	"कंजर्वेटिव डार्लिंग-परिया तोमी लाह्रेन महिलाओं के बारे में सही सोच के साथ एक दुर्घटना कोर्स कर रही है। लाहरन 24 वर्षीय एक वीडियो के लिए जाने जाते हैं, जो एक आत्म-उत्तेजित स्वर में दिया जाने वाला वीडियो है, जिसने दक्षिणपंथी मीडिया के भीतर तेजी से लोकप्रियता हासिल की। वह एक युवा ब्लोंड के रूप में राय देती थी और एक रूढ़िवादी के रूप में सेक्स अपील का उपयोग करने के लिए रूढ़िवादी और बेपरवाह थी। ""ऐसा लगता है कि नारीवादी अभिव्यक्ति की स्वतंत्रता के बारे में इतने लंबे समय तक हैं जब तक कि महिलाएं अधिक वजन वाली या ट्रांसजेंडर नहीं होती हैं, वह एक वीडियो में कहती हैं। एक युवा, आकर्षक, रूढ़िवादी महिला होने के नाते, उन्होंने उस तरह की चौंकाने वाली टिप्पणी करने के लिए अपना कवर दिया, जो अन्य प्रकार से डूब गई होंगी।"" करियर - उदाहरण के लिए, यह सुझाव देते हुए, कि सीरियाई शरणार्थी अपने जीवन (और अपने बच्चों के जीवन) के लिए भाग रहे थे, वे कायर थे जो अपने देश की रक्षा करने के लिए नहीं रुकते थे। अमेरिकी खड़े होकर विश्वास परिवार के लिए लड़ते हैं और स्वतंत्रता पाठ को पढते हैं। खुद की एक छवि, जिसे उसने ट्वीट किया था। सीरियाई भाग गए। """	Legit
Entertainment	"""वॉकिंग डेड"" स्टार लॉरेन कोहन का कहना है कि कास्ट ""डेथ डिनर"" रखती है"	"एएमसी के ""वॉकिंग डेड"" की स्टार लॉरेन कोहेन का कहना है कि उनके कलाकारों के सदस्यों के पास बॉन्डिंग का एक अनूठा तरीका है। ""हम अपने साथी कलाकारों के सदस्यों के लिए नकली अंत्येष्टि करना पसंद करते हैं। हम दिखावा करते हैं कि वे कमरे में नहीं हैं और कहते हैं कि व्यक्ति के बारे में यादों, चुटकुलों और यादों को साझा करें। मैं कह सकता हूं कि हमारे पास हास्य की भावना है।"""	Fake
Entertainment	कैटी पेरी एक ऑटो दुर्घटना में मारे गए प्रशंसक को श्रद्धांजलि देती है	"कैटी पेरी ने एक 18 वर्षीय सुपरफैन को विशेष श्रद्धांजलि दी है जो एक कार दुर्घटना में मारे गए थे। श्रेवेपोर्ट लुइसियाना में एबीसी संबद्ध केटीबीएस-टीवी के अनुसार, 18 वर्षीय केटी बेल का पिछले सप्ताह के अंत में निधन हो गया, जब वह अपनी कार से नियंत्रण खो बैठी और एक अन्य वाहन से टकरा गई। दूसरा ड्राइवर भी मारा गया। ""हम आपको परी देखते हैं और हम प्यार करते हैं और आपको याद करेंगे पेरी ने मंगलवार सुबह ट्वीट किया। केसी की लाइट कैटी के लिए एक मोमबत्ती। रेस्ट इन पीस।"" उन्होंने अपने ट्वीट में बेल के एक वीडियो को शामिल किया। बेल की मृत्यु के समाचार ने स्पष्ट रूप से हैशटैग RIPKatycatKatie को प्रेरित किया - पेरी प्रशंसकों ने खुद को ""कैटीकैट्स"" कहा - और पेरी ने खुद को नोटिस किया। बेल पेरी को और सम्मान देने के लिए उन्होंने अपने ट्विटर प्रोफाइल पर अपना नाम बदलकर बेल के हैशटैग कर लिया।"	Legit
Entertainment	मिशेल फ़िफ़्फ़र कहती हैं कि अब वह काम करने के लिए 'अधिक खुली' हैं कि उनके बच्चे बड़े हो गए हैं	"मिशेल फ़िफ़्फ़र इन दिनों बहुत व्यस्त कार्यक्रम का आनंद ले रहे हैं। इंटरव्यू पत्रिका के लिए निर्देशक डैरेन एरोनोफ़्स्की के साथ बात करते हुए उन्होंने कहा कि उनके हॉलीवुड करियर को बच्चे पैदा करने के बाद बैक बर्नर पर रखा गया था, लेकिन अब वह खेल में वापस आने के लिए तैयार हैं। ""मैंने अभिनय के लिए अपना प्यार कभी नहीं खोया है। मुझे फिल्म के सेट पर वास्तव में घर पर महसूस होता है। मैं एक और अधिक संतुलित व्यक्ति हूं, जब मैं काम कर रहा हूं, तो जब मैंने Pfeiffer काम किया है, तो एरोनोफस्की ने कहा। लेकिन मैं इस बात से बहुत सावधान था कि मैंने कितनी देर तक शूटिंग की। दूर था या नहीं, यह बच्चों के शेड्यूल के साथ काम करता था या नहीं। वह अब एक ""खाली नेस्टर है"" उसने कहा, उसकी बेटी क्लाउडिया रोज़ फ़िफ़र 24 है और बेटा जॉन हेनरी केली 22 साल का है। इसने उसे और अधिक भूमिकाएं लेने की क्षमता दी है। इस साल, वह एचबीओ के द विजार्ड ऑफ झूठ में दिखाई देगी। ""रॉबर्ट डी नीरो अरोनोफ़्स्की की"" माँ ""के साथ और अगाथा क्रिस्टी के"" मर्डर ऑन द ओरिएंट एक्सप्रेस का एक रूपांतरण जिसमें जॉनी डेप, जोश गड और पेनेलोप क्रूज़ भी होंगे। वह इंडी फिल्म में कहाँ है? जिसका प्रीमियर इस साल की शुरुआत में हुआ था।"	Legit
Entertainment	एंटी-गे ऑरलैंडो बैपटिस्ट प्रोटेस्टर्स द्वारा नीलामी में खरीदी गई बर्न बेबी बर्न जॉर्ज माइकल पोर्ट्रेट आग की लपटों में ऊपर जाती है	"वेस्टबोरो बैपटिस्ट की तरह, ऑरलैंडो बैप्टिस्ट समूह एक गुरुत्वाकर्षण पर नृत्य करने का मौका नहीं दे सकता था। कलाकार डेमियन हिर्स्ट द्वारा दिवंगत जॉर्ज माइकल के एक चित्र को समूह द्वारा पिछले सप्ताह एक चैरिटी नीलामी में सिर्फ आधा मिलियन पाउंड में बेचा गया है, जिन्होंने तुरंत अपने नफरत वाले अलाव के लिए इसे केंद्रबिंदु के रूप में आग लगा दी थी। स्वर्गीय गायकों की मृत्यु और महिमामंडन का स्पष्ट विरोध देर से आने वाले गायकों के सार्वजनिक स्मारक की सड़क के ठीक सामने किया गया। ""एक बार एक फ़्लेमर हमेशा एक फ़्लैमर"" एक संकेत पढ़ता है। लेकिन जॉर्ज माइकल ने एक विडंबनापूर्ण मोड़ में आखिरी हंसी प्राप्त कर ली हो सकता है कि चर्च ने न केवल पेंटिंग खरीदी, बल्कि इस बात से अनजान थे कि पैसा श्री हर्ट्स की गहरी जेब की गैलरी में नहीं जा रहा है, बल्कि इसके बदले में पैसा सुंदर सुंदर जॉर्ज माइकल की बिक्री से जुटाया गया था लव पेंटिंग एचआईवी / एड्स चैरिटी द गोस-माइकल फाउंडेशन में जाएगी। इस चैरिटी की स्थापना माइकल और उनके पूर्व साथी केनी गॉस ने की थी। गॉस ने इंस्टाग्राम पर कलाकृति की एक तस्वीर पोस्ट करते हुए लिखा: ""580 000 का अद्भुत परिणाम (लगभग £ 461 011)।"" उन्होंने डेमियन हेयरस्ट को ""सुपरस्टार"" के रूप में वर्णित किया: ""थैंक यू डेमियन"" कैनवास एमटीवी रे में डलास टेक्सास में हथौड़ा के नीचे चला गया: दान पर्व को परिभाषित करें। माइकल, जिन्होंने एक सफल एकल करियर की शुरुआत करने से पहले एक आधे जोड़ी धाम के रूप में एक आकर्षक पॉप करियर का आनंद लिया, पिछले साल क्रिसमस के दिन 53 साल की उम्र में निधन हो गया। """	Fake
Entertainment	कांग्रेस के बारे में नस्लीय रूप से आरोपित मजाक बनाने के बाद बिल ओ रेली ने माफी मांगी	"फॉक्स न्यूज के मेजबान बिल ओ'रेली ने मंगलवार को काले कांग्रेसियों के बाल काटने के आरोप में आग लगाने के बाद माफी मांगी। ""फॉक्स फ्रेंड्स ओ'रेली पर एक उपस्थिति के दौरान प्रतिनिधि की एक क्लिप के लिए प्रतिक्रिया व्यक्त की। मैक्सिन वाटर्स (डी-सीए) ने प्रतिनिधि सभा के फर्श पर भाषण दिया। मैंने एक शब्द नहीं सुना जो उसने कहा कि ओ'रिली ने कहा। वाटर्स। मैं जेम्स ब्राउन विग को देख रहा था। "" ""अगर हमारे पास जेम्स ब्राउन की तस्वीर है - यह वही विग है जिसे उन्होंने जोड़ा है। ट्विटर पर नस्लभेदी और सेक्सिस्ट दोनों के रूप में टिप्पणियों का व्यापक रूप से खंडन किया गया था, जहां ओ'रेली का नाम मंगलवार सुबह और दोपहर में ट्रेंड कर रहा था। मंगलवार दोपहर एक बयान में, ओ।"" 'रीली ने टिप्पणी के लिए खेद व्यक्त किया। जैसा कि मैंने कहा है कि मैंने कई बार कांग्रेसवालों मैक्सिन वाटर्स का सम्मान किया है, उनके विश्वास के प्रति ईमानदार होने के लिए। दुर्भाग्य से मैंने उसके बालों के बारे में एक मजाक भी किया जो गूंगा था। मैं माफी मांगता हूं। """	Legit
Entertainment	क्रिस प्रैट ने बॉडी शेमर्स को जवाब देते हुए कहा कि वह भड़कीले और बीमार दिख रहे हैं	बड़े या छोटे क्रिस प्रैट ने निश्चित रूप से यह सब सुना है, ब्रह्मांड स्टार 37 के संरक्षक नवीनतम अफवाहें नहीं ले रहे हैं कि वह बीमार रूप से झूठ बोल रहा है। प्रैट अपने भोजन का दस्तावेजीकरण कर रहे हैं, जिसे वह आगामी फिल्म जुरासिक वर्ल्ड 3 में फिल्माते हुए खा रहे हैं। वह इंस्टाग्राम पर बहुत ही बोल्ड तरीके से वापस आ रहे हैं क्योंकि कुछ अनुयायियों ने कहा कि उन्हें इंस्टाग्राम पर व्हाट्सएप माई स्नैक के बाद हड्डियों पर कुछ मांस प्राप्त करने की आवश्यकता है । कुछ ने कहा कि वह कंकाल की तरह दिखता है और उसे तेजी से मदद की जरूरत है। क्रिस ने कहा कि सिर्फ इसलिए कि वह पुरुष है इसका मतलब यह नहीं है कि शरीर को हिलाना चोट नहीं करता है।	Fake
Entertainment	एलेक बाल्डविन का कहना है कि वह 'एसएनएल' में डोनाल्ड ट्रम्प की भूमिका निभा रहे हैं।	"एलेक बाल्डविन ने खुलासा किया है कि वह ""सैटरडे नाइट लाइव"" पर डोनाल्ड ट्रम्प का किरदार निभाते हुए लगभग गुजर गए। अभिनेता ने अपनी अप्रैल कवर कहानी के लिए वैनिटी फेयर को बताया कि वह मूल रूप से ""एसएनएल"" निर्माता लोर्ने माइकल्स के ट्रम्प की भूमिका निभाने के प्रस्ताव पर पारित हुए थे, लेकिन एक फिल्म की भूमिका के बाद उनका मन बदल गया। ""मैं एक फिल्म करने वाला था। और जो लोग फिल्म कर रहे थे, उन्हें इस बात की गारंटी के लिए पैसे देने थे कि मुझे भुगतान मिलेगा, उन्होंने कवर स्टोरी के साथ एक वीडियो में कहा था। और उन्होंने पैसे एस्क्रौ में नहीं डाले। और ऐसा तब हुआ जब मैंने कहा कि मैं फिल्म करने नहीं जा रहा हूं और मैं लोर्ने के साथ काम करने जा रहा हूं। और मैं खुद से सोचता हूं कि 'अगर मैंने ऐसा नहीं किया होता तो?' ... यह इस अविश्वसनीय अवसर के लिए निकला है। "" बाल्डविन की छाप इतनी लोकप्रिय रही है कि उन्होंने इसे आगामी व्यंग्य पुस्तक में पिरोया है और इस वर्ष की शुरुआत में ""एसएनएल"" के मेजबान के रूप में रिकॉर्ड 17 वीं उपस्थिति दर्ज की। वह ट्रम्प के ""एसएनएल"" केट मैककिनोन और टीना फे के साथ काम करने और अपने नए संस्मरण में अपने जीवन की सर्वश्रेष्ठ भूमिका में अभिनय करने के बारे में बात करते हैं ""फिर भी अगले महीने बाहर होने के कारण। वैनिटी फेयर ने एक विशेष उद्धरण प्रकाशित किया।"	Legit
Entertainment	Ex-Fox News CFO में रोजर ऐलिस जांच में प्रतिरक्षा नहीं होगी	"पूर्व फॉक्स न्यूज के प्रमुख रोजर ऐलेस के खिलाफ लगाए गए यौन उत्पीड़न के आरोपों से उपजी संघीय जांच ने मंगलवार को एक रिपोर्ट के साथ एक नाटकीय मोड़ लिया कि अभियोजक फॉक्स न्यूज के सीएफओ मार्क क्रान्ज फॉक्स न्यूज के मुख्य वित्तीय अधिकारी की सेवानिवृत्ति तक किसी भी प्रतिरक्षा से इनकार करेंगे। CNNMoney द्वारा पुष्टि किए गए मामले की जानकारी के साथ जांच के दो स्रोतों के साथ उनके सहयोग के लिए अगस्त को अभियोजन पक्ष से अभियोजन पक्ष से प्रतिरक्षा की पेशकश की गई है। हालांकि, कोर्ट की तारीखों में सीएफओ द्वारा दिखाने से इनकार करने के बाद इन प्रस्तावों को खींच लिया गया है। 21 वीं सदी के फॉक्स ने फॉक्स न्यूज के कर्मचारियों को भुगतान छिपाकर निवेशकों को गुमराह किया, जिन्होंने आरोप लगाया कि उन्हें एइल्स द्वारा यौन उत्पीड़न किया गया था। जैसा कि सीएफओ क्रांज कंपनी के वित्तीय विवरण तैयार करने में सीधे तौर पर शामिल थे और इस प्रकार संभावित रूप से जांच में महत्वपूर्ण गवाह थे। क्रांज़ के वकील इस मामले पर टिप्पणी करने से इनकार कर दिया। न्याय विभाग और यूएस एट के प्रवक्ता न्यूयॉर्क के दक्षिणी जिले के लिए ओर्नी का कार्यालय, जो जांच को संभाल रहा है, ने भी टिप्पणी करने से इनकार कर दिया। """	Fake
