Domain	Topic	News	Label
Sports	Roger Federer đánh bại Frances Tiafoe khi trở lại Miami Open	"Roger Federer đã đánh bại thiếu niên người Mỹ Frances Tiafoe trong trận đấu đầu tiên của anh tại Miami Open trong ba năm. Tay vợt người Thụy Sĩ 35 đã đánh bại vòng loại 19 tuổi 7-6 (7-2) 6-3 để đưa kỷ lục 2017 của anh lên 14 trận thắng và một trận thua. Federer, người đã giành được danh hiệu Úc mở rộng và Ấn Độ Wells năm nay đã bỏ lỡ Miami vì bệnh tật năm 2016. Hạt giống hàng đầu Stan Wawrinka đánh bại Horacio Zeballos 6-3 6-4 trong khi hạt giống thứ năm của phụ nữ Agnieszka Radwanska bị Mirjana đánh bại 6-0 6-3 Lucic-Baroni. ""Hôm nay trời mưa rất khó khăn và rất gió, Swiss Wawrinka nói. Trời rất gió trên sân nên không bao giờ dễ dàng. Tôi rất vui với cách tôi di chuyển theo cách chơi và thái độ của tôi nói chung rất tích cực nên nó rất tích cực. một trận đấu tuyệt vời. "" Federer đã chọn nơi anh rời khỏi Indian Wells để giành được 20 điểm dịch vụ đầu tiên trên đường vượt qua nỗ lực ấn tượng từ Tiafoe, số 101 thế giới."	Legit
Celebrity	'Đó là một thời gian dài sắp tới': Heidi Klum kết thúc cuộc hôn nhân kéo dài 7 năm vì 'tính khí núi lửa' của Seal	Seal và Heidi Klum khẳng định việc chia tay của họ là 'thân thiện' ngày hôm qua mặc dù các báo cáo cho rằng siêu mẫu không còn có thể chịu đựng được Nụ hôn từ khí chất núi lửa của ca sĩ Rose.	Fake
Celebrity	Liam Payne vừa hòa âm nhạc Solo của Harry Styles	Âm nhạc mới của Harry Styles không dành cho tất cả mọi người, thậm chí là cựu đồng nghiệp ban nhạc One Direction của anh, Liam Payne.	Fake
Entertainment	Chúng ta đều biết tại sao quyền lại giận Tomi Lahren	"Tomi Lahren bảo thủ đã trở thành một khóa học sụp đổ về những gì phụ nữ nghĩ đúng. Lahren, một cô gái 24 tuổi nổi tiếng với những đoạn độc thoại bằng video được truyền tải bằng giọng điệu tự quảng cáo rầm rộ đã nổi lên nhanh chóng trong giới truyền thông cánh hữu. Cô gái tóc vàng trẻ tuổi có quan điểm và bảo thủ và không ngại sử dụng sự hấp dẫn giới tính như một món ăn. ""Có vẻ như các nhà nữ quyền đều có quyền tự do ngôn luận miễn là những người phụ nữ thừa cân hoặc chuyển giới mà cô ấy nói trong một video. sự nghiệp - ví dụ, gợi ý rằng những người tị nạn Syria chạy trốn để kiếm sống (và cuộc sống của con cái họ) là những kẻ hèn nhát sẽ không ở lại để bảo vệ đất nước của họ. Người Mỹ đứng lên và đấu tranh cho gia đình đức tin và tự do đọc văn bản được phủ lên trên một hình ảnh của chính mình, mà cô ấy đã tweet. Người Syria chạy trốn. """	Legit
Celebrity	Bên trong phòng tắm em bé của Beyoncé	Đừng hành động như bạn không biết Beyoncé sẽ tắt nó khi đi tắm em bé.	Legit
Technology	Xe tự hành đã sẵn sàng để đi một mình?	Bánh xe huấn luyện cho xe tự hành có hình dạng của một người ngồi sau tay lái. Nhưng khi bạn loại bỏ trình điều khiển an toàn khỏi một chiếc xe robot, hai tấn kim loại sẽ bị lỏng ra.	Legit
Education	Torona hủy các chuyến đi đẳng cấp của Hoa Kỳ do Trump kêu gọi người Canada hèn nhát năng lượng thấp.	"Hội đồng trường lớn nhất Canada đã cấm tất cả các chuyến đi thực địa trong tương lai tới Hoa Kỳ vì lo ngại về những bình luận tại một trong những cuộc biểu tình gần đây của Tổng thống Trump, nơi Trump được trích dẫn nói rằng ""Tôi nói với bạn bằng tất cả sự chân thành rằng người Canada không hơn gì một nhóm hèn nhát năng lượng thấp. "" Một dàn hợp xướng nữ ở California vừa trở thành tổ chức mới nhất của Hoa Kỳ từ bỏ một chuyến đi nước ngoài vì lý do tương tự. Hội đồng trường học Toronto đã viết trong một lá thư gửi hiệu trưởng vào thứ năm rằng họ phải đưa ra lựa chọn nhất trí thông qua trong một cuộc họp diễn ra vào đêm hôm trước, do lo ngại bảo vệ sự an toàn của học sinh và giữ đúng giá trị của sự bình đẳng và cộng đồng. Người Canada lo ngại rằng những bình luận của Trumps có thể ảnh hưởng đến mối quan hệ trong tương lai giữa hai quốc gia."	Fake
Celebrity	Meghan Markle được cho là đang di chuyển vào Cung điện Kensington, đó là Hoàng tử Harry	Nếu các báo cáo được tin tưởng, thì Meghan Markle có thể sắp sửa nâng cấp cuộc sống hiện tại của cô ấy. Nghĩa đen	Legit
Celebrity	Selena Gomez và Jennifer Aniston Ngày đôi: Nhận xét của Jen về eeknd ere Lies	Selena Gomez hiện đang hẹn hò với The eeknd. Bạn thân của cô, Jennifer Aniston, rất ủng hộ cô nhưng mối quan hệ của họ đôi khi bị nhắm đến bởi những người mong muốn tin đồn.	Legit
Celebrity	Đó là chính thức: Cuộc hội ngộ của các cô gái Spice thực sự đang diễn ra	"Khoảng một năm trước, Spice Girls đã kỷ niệm 20 năm ngày ""annabe"". Đĩa đơn, mặc dù là nhóm đầu tiên, đã đạt được thứ hạng cao nhất ở hầu hết các quốc gia mà nó được phát hành, đã tạo tiền lệ cho nhóm nhạc này trở thành một trong những thế lực âm nhạc lớn nhất trong thời đại của họ - một định mệnh đã được hoàn thành gấp mười lần"	Fake
