Domain	Topic	News	Label
Politics	Biden: Trump alikuwa amepigwa waya, lakini sio na Amerika	"Joe Biden alisema Rais Donald Trump ni kweli, alikuwa ameshikwa waya lakini sio na Amerika. Alitoa ushahidi uliyotayarishwa na Idara ya Sheria kwamba kwa kweli, Obama hakuamuru waya wa Tarumbeta, lakini alipata ushahidi wa teknolojia ya Urusi iliyoachwa kwenye kabati la utengenezaji karibu na basement ya Trump tower. Makamu wa rais wa zamani alisema, ""Kwa nguvu ya ushahidi huu wa kawaida, Rais Trump alithibitishwa katika madai yake ya kushonwa waya, lakini labda sio kwa njia aliyotaka."" Obama, kupitia msemaji, alikanusha kwamba aliweka waya wa Trump mnara baada ya rais wa sasa kugundua shtaka hilo. Mkurugenzi wa FBI James Woy wiki hii pia alishuhudia kwamba hakuna ushahidi kwamba utawala wa Obama ulimchunguza Trump wakati wa uchaguzi mkuu wa 2016, lakini alikubali kuwapo kwa kifaa cha Kirusi kinachopandwa kwenye basement ya Trump tower."	Fake
Celebrity	'Ilikuwa ni muda mrefu kuja': Heidi Klum anamaliza ndoa ya miaka saba juu ya hasira ya Seal 'hasira'	"Seal na Heidi Klum walisisitiza mgawanyiko wao ulikuwa wa ""huruma"" jana licha ya ripoti kwamba supermodel hawawezi tena kuvumilia na busu kutoka kwa hasira ya volka ya mwimbaji wa Rose."	Fake
Celebrity	Liam Payne Alikiachiwa tu Solo za Staili za Harry Styles	Muziki mpya wa Harry Styles sio wa kila mtu, hata hata bendi yake ya zamani ya Miongozo moja ya Liam Payne.	Fake
Technology	Amazon Prime Air drone inakamilisha uwasilishaji wake wa kwanza wa umma wa Amerika	Amazon Prime Air ilisema Alhamisi ilisafirisha kifurushi chake cha kwanza nje hadharani Amerika wiki hii, ikiashiria hatua nyingine ndogo kuelekea lengo lake la kujaza mawingu na vifaa vya kujifungua.	Legit
Celebrity	Ndani ya bafu ya watoto Beyoncé	Usifanye kama haukujua Beyoncé alikuwa anafunga itakapokuja kwa kuoga kwa mtoto wake.	Legit
Technology	Kujifunza Mashine Hufungua Njia Mpya za kusaidia watu walioko Gerezani	Sheria za CC hufanya matumizi ya teknolojia kusaidia mamilioni ya watu kufurahiya televisheni na aina zingine za media. Shukrani kwa teknolojia ya kujifunza mashine ya Google, wafungwa wataweza kutumia teknolojia hizi .. YouTube imetumia programu ya kusema-maandishi itatumika katika magereza kadhaa nchini kote. Kusikia wafungwa wasio na nguvu wanafurahi kusikia teknolojia za CC zinatekelezwa, lakini walipa kodi wengi wanapingana na wazo hilo.	Fake
Business	Wells Fargo faida faida ya kuongezeka licha ya gharama za kisheria	"""Licha ya gharama inayokuja ya korti ya kashfa yake ya hivi karibuni, benki ya Wells Fargo imeripoti kuongezeka kwa faida ya robo mwaka. Faida ya robo ya tatu iliongezeka 2% hadi 6bn, kutoka 5.8bn mwaka jana. Kujibu, benki hiyo inaajiri kwa nafasi ambazo hapo awali zilikuwa. wafanyikazi walioshiriki kwenye kashfa hiyo walifukuzwa kazi. Kashfa hiyo ilihusisha wafanyikazi kufungua akaunti bandia kwa majina ya wateja bila ufahamu wa wateja. Ripoti ya hivi karibuni ya kuongezeka kwa faida imewashangaza wengi ndani na nje ya benki. """	Fake
Celebrity	Meghan Markle Anaripotiwa Kuhamia Katika Kensington Ikulu ya Prince Harry	Ikiwa ripoti zitaaminiwa, basi Meghan Markle anaweza kuwa karibu kumpa setiti ya sasa ya kuishi kuboresha sasisho la kifalme. Kwa kweli.	Legit
Celebrity	Selena Gomez Na Jennifer Aniston Tarehe Mbili: Maoni ya Jen Kuhusu eeknd ere Uwongo	Selena Gomez hivi sasa ni mchumba. Rafiki yake mkubwa Jennifer Aniston anamuunga mkono lakini uhusiano wao wakati mwingine huwalenga na watalaamu wa uvumi.	Legit
Celebrity	Ni Rasmi: Ushirika wa Wasichana wa viungo ni kweli unafanyika	"Karibu mwaka mmoja uliopita, Wasichana wa Spice walikuwa wakisherehekea kumbukumbu ya miaka 20 ya ""mwaka"" wao mmoja. Moja, ambayo, licha ya kuwa ya kwanza ya kikundi, ilifanikiwa kugonga chati za juu katika kila nchi ilitolewa, iliweka mfano kwa quintet kuwa moja ya vikosi vikubwa vya muziki vya wakati wao - umilele ambao ulitimia. mara kumi."	Fake
Technology	Vespa kongwe zaidi ulimwenguni Iliyohusika katika Ajali ya Gari	"Unaweza kukumbuka gari la Vespa la kawaida kama lile la Audrey Hepburn lilisogesha gari kuzunguka Roma. Jumamosi, Vespa kongwe iliyobaki ambayo ilikuwa mikononi mwa ushuru John Grimes ilihusika kwenye ajali wakati mmiliki alikuwa akifanya matengenezo ya gari . Ndio, gari la classic limehifadhiwa katika hali ya kuendesha miaka hii yote. Scooter kutoka kwa ""O Series"" ya Piaggio na nambari ya serial 1003 alipigwa na dereva wa njia mbaya na hivyo kumaliza maisha marefu ya gari."	Fake
Sports	Kuteremka katika mchezo: Matumizi ya dawa za kulevya 'haraka kuwa shida'	"Matumizi ya dawa za kulevya katika kila ngazi ya michezo ni ""haraka kuwa shida"" kulingana na UKIMA-Doping wa Uingereza - kujibu uchaguzi wa BBC kuingia kwenye densi katika mchezo wa Amateur. Iligundua zaidi ya theluthi (35%) ya watu wa michezo ya amateur wanasema wanamjua kibinafsi mtu ambaye amekopa na 8% walisema wamechukua dawa za kulevya. Nusu inaamini utendaji unaoboresha utumiaji wa dutu ni ""umeenea"" kati ya wale wanaocheza michezo kwa ushindani. Mkuu wa Ukad Nicole Sapstead alielezea takwimu hizo kama ""za kutisha sana"". Uchunguzi wa BBC Jimbo la Sport juu ya upigaji kura katika michezo ya amateur ya Uingereza pia uligundua kuwa 49% walifikiria dawa za kuongeza utendaji (PEDs) ""zinapatikana"" kwa urahisi kati ya watu wanaocheza michezo mara kwa mara."	Legit
