Domain	Topic	News	Label
Celebrity		Je! Drake's New single inamaanisha kuwa Tayari Ameshatoa Albamu yake ya Hivi Punde?	Legit
Celebrity	Angelina Jolie Amal Alamuddin: Ni ar	hen George na Amal Clooney walisherehekea harusi yao kwa mara ya pili mnamo Oktoba 25, kulikuwa na wageni wawili waliogundulika sana ambao walikosekana - Brad Pitt na Angelina Jolie hawakuweza kuonekana	Fake
Celebrity	Jambo kwa Blondes? Brad Pitt Yuko Tayari Kusonga Margot Robbie	"Je! Brad Pitt amerudi blondes? Muda kidogo baada ya kugawanyika kwake na Angelina Jolie, uvumi ulienea kuhusu kemia wa Pitt wa kuweka usanii na mwigizaji wa Allies Marion Cotillard. Kuhusishwa na wengi wa nyota wenzake kwa muda wote wa kazi yake ndefu, pamoja na mchumba wake wa hivi karibuni, haishangazi Jolie hakuwa na hamu ya kufanya naye kazi na mabomu ya machozi, Margot Robbie. Chanzo cha kipekee kwa ripoti za OK, ""Anadhani ni msichana moto zaidi katika Hollywood hivi sasa."" Kulingana na chanzo, muigizaji huyo mwenye umri wa miaka 41 na Rais wa Filamu B za Mpango ""amejaribu kumpongeza kwa miradi mingi ya sinema. Hii ilikuwa somo kali na Angie ambaye aliwazuia kufanya kazi pamoja mara chache. Sasa yeye hana ndoa tena unaweza kutarajia Brad atafuata Margot na shauku. "" Na nani angemlaumu? Urembo wa miaka 26 wa Australia umepewa jina la ""Angelina Jolie mpya,"" unaochochea hofu mioyoni mwa wake mashuhuri. Ana sifa yake mwenyewe ya kemia iliyowekwa na watendaji wa ndoa ikiwa ni pamoja na mgonjwa Smith. picha za kuchoma moto na nzito za ngono na picha zikiwa zinatazama kamera laini, Smith mwenyewe alilazimika kushughulikia uvumi huo kwenye twitter, ""Inasikitisha kwamba kuzunguka kila wakati kunaweza kuchukuliwa bila muktadha."""	Fake
Celebrity	Tom Hiddleston alishtuka Taylor Swift Alimrejelea juu ya Albamu Mpya: Hapa kuna msemo	watu wengi ambao wako au walikuwa katika maisha ya Taylor Swift uwezekano mkubwa walijua wataitwa kwenye albamu yake, Tom Hiddleston alidhani yuko salama Lakini, amemtajwa kwenye nyimbo za TO Hapa ndio anafikiria…	Fake
Celebrity	JENNIFER ANISTON HINTS KWA MARAFIKI Reunion	"Jennifer Aniston anawafurahisha sana marafiki wa Marafiki mwigizaji aligusia angekuwa wazi kwa kuungana tena na kipindi cha NBC. ""Kitu pekee ambacho ninaweza kufikiria kufanya labda ni kufurahi kipindi cha Kushukuru,"" Aniston alisema kwenye onyesho la Briteni. Walakini, msemaji wa arner Bros., studio ambayo ilitengeneza Marafiki, aliiambia New York Post kuwa hakujawa na majadiliano ya awali juu ya onyesho la kukutana kwa Marafiki."	Fake
Celebrity	Lindsay Lohan: Kutamani Starlet Baada ya Vladimir Putin	"LiLo's ghafla ililenga macho yake ya moto kwa ""Kremlin Krotch,"" akiambia suruali yeye kitanda na mchumba mashuhuri wa Soviet Vladimir Putin - na kisha apewe taji rasmi ""Princess Pootie-Tang wa Urusi"""	Fake
Celebrity	Kuibuka kwa Sayansi Katie Holmes Jenna Elfman Kuingia katika Awkward 'GMA' Kukimbia	Kwa mara moja, mchezo wa kuigiza huko Good Morning America haukumuhusisha Robin Roberts na mpiga picha wake mpya, Michael Strahan.	Fake
Celebrity	Nat ants to Enter Biashara ya Vipodozi Kama Kylie	Kanye est anataka kwenda kichwa-na-mkwe-dada-yake maarufu ... kupiga mbizi kwanza ndani ya biz ya mapambo iliyotawaliwa na Kylie Jenner.	Fake
Celebrity	Kucheza na Timu ya Star 2017 pamoja na Charo, Bonner Bolton, Heather Morris Zaidi	"kucheza juu ya kucheza na nyota? Wacha tujue Mchezo mpya wa kucheza na Stars 2017 ulitangazwa juu ya Wema Morning America Wshindi wa Msimu 24 walijadiliwa kwenye Msimu wa Marafiki, ambao pia uliashiria sehemu ya 400 ya kucheza na Stars. Vipindi vya show MONDAYS 8 | 7c kwenye ABC. Mechi hiyo ya msimu huu ni pamoja na Bonner Bolton, Bwana T, Olimpiki Simone na Nancy Kerrigan, Heather Morris na msichana wa asili wa ""Cuchi-Cuchi"", Charo, kuwataja wachache tu. Angalia kucheza kamili na Mchezo wa nyota hapa chini baada ya kufurahiya nambari ya ufunguzi mzuri kutoka kwa Msimu wa kwanza wa Msimu"	Legit
Celebrity	Kirsten Dunst anafafanua kwanini alikuwa analia kwenye kabichi nyekundu cha Cannes 2017	Kirsten Dunst alionekana akilia ajabu kwenye kabichi nyekundu kwenye Tamasha la Filamu la Cannes la mwaka huu, na sasa inaonekana tunayo maelezo kwa tukio hilo la ghafla.	Legit
