Domain	Topic	News	Label
Education	Korti Kuu inaongeza Haki kwa Wanafunzi wenye Ulemavu	Katika uamuzi wa kutokubaliana na athari kubwa kwa wanafunzi wenye ulemavu, Mahakama Kuu ya Amerika ilitoa uamuzi Jumatano kwamba shule lazima zipe viwango vya juu vya elimu kwa watoto wenye mahitaji maalum.	Legit
Education	Waandamanaji Wasumbufu Ziara ya Shule ya DeVos	Waandamanaji mnamo Ijumaa asubuhi walijaribu kuzuia kutembelea shule ya kati ya Wilaya ya Columbia na Katibu mpya wa elimu Betsy DeVos.	Legit
Education	Vyuo vikuu vya kushoto vinatafuta kuwaweka wanawake katika nafasi za nguvu juu ya wanaume ambao wana sifa zaidi.	"Ili kuleta faida ya ajenda ya utandawazi ya usawa wa kijinsia, vyuo vikuu vilivyobaki vimetangaza wanawake kuwekwa katika nafasi zaidi ya wenzao wa kiume wenye sifa zaidi ili kukaza pengo la kijinsia katika sayansi, teknolojia, uhandisi na uwanja wa hesabu. Utafiti wa George Soros unaofadhiliwa, ""Je! Kwanini Sehemu Zingine za STEM zina Usawa zaidi ya Wengine kuliko Wengine?"" huchota kazi za zamani kwenye mapungufu ya jinsia ya STEM kwa uwanja wa kiume unaotawaliwa."	Fake
Education	Sheria ya Bunduki ya Wavuti ya Wavuti ya Wapigania Ukosefu wa bunduki katika Chuo Kikuu cha Texas	Wanafunzi walikuwa na maelfu ya vitu vya kuchezea vya ngono katika Chuo Kikuu cha Texas-Austin katika maandamano ya sheria ya siri ya kubeba siri iliyoanza Jumatano kwenye vyuo vikuu katika Jimbo la Lone Star.	Legit
Education	Kujifunza: Ufunguo wa Mazingira Pamoja ya Kufunga Pengo la STEM	Ili kukaza pengo la kijinsia katika nyanja fulani za sayansi, teknolojia, uhandisi na hesabu za kiume, waelimishaji lazima kukuza utamaduni unaovutia zaidi, kulingana na utafiti uliochapishwa katika toleo la Oktoba la Bulletin ya Saikolojia.	Legit
Education	Utendaji mbaya wa Wadi ya nguo	"Katibu wa Betsy DeVos alikuwa na shida kidogo wakati alithibitishwa na Seneti. Wakati wa usikilizaji aliongea juu ya umiliki wake na uzoefu wake wa juu juu ya elimu lakini alisahau kitu kimoja, ambacho kilikuwa ni kumaliza blouse yake kila wakati. Kwa kudhani uwezo wake wa kuendesha Idara ya elimu hauhimiliwi na ukosefu wake wa maelezo rahisi. Makamu wa Rais Mike Pence alikuwa fadhili wa kutosha kumuelekeza wakati wa uthibitisho wake na kuashiria ajiandae badala ya kufunua ""moyo"" wake kwa watoto ulimwenguni."	Fake
Education	Mgogoro wa Uhaba wa Walimu Upo Hapa	Wanafunzi waliporudi shuleni mwaka huu huko Tampa, Florida, maelfu ya nafasi za ualimu zilikuwa bado zimejazwa. Ilifuatia mwaka ambao mamia ya maelfu ya waalimu waliajiriwa juu ya dharura au hati za muda kusaidia kujaza maeneo yanayopangwa kuzunguka nchi - 900 yao huko Oklahoma pekee. Na huko Arizona, ambayo ina moja ya viwango vya juu zaidi vya ualimu nchini, wilaya za shule zinaripoti kuwa hazina nafasi ya kufundisha miezi mitatu hadi mwaka wa shule.	Legit
Education	"Jinsia ni ""mada moto"" katika uwanja wa anthropolojia ya uchunguzi. Klabu ya Wasichana Nani ya Code inafanya kazi kufanya mada hii iwe ya usawa zaidi wa kijinsia. Inaaminika kuwa Adamu alikuwa mtu wa kwanza Duniani na Eva ndiye mwanamke wa kwanza. Klabu inatarajia kudhibitisha kuku aliyekuja kabla ya yai ikiwa utataka. Kikundi hiki kinakusanya data kutoka kwa nambari za maumbile milioni kadhaa ili kujaribu kuunganishwa kwa wakati na inathibitisha kwamba Hawa hakuwa mwanamke wa kwanza Duniani bali kwamba alikuwa pia mama ya Adamu."	Magari ya kuendesha gari ya Uber Technologies Inc. iliwekwa kwenye hali ya kusubiri baada ya ajali ya hivi karibuni huko Arizona. Siku ya Jumatatu mpango huo ulirudishwa mkondoni kwa sababu tu ya kusababisha maafa mabaya zaidi huko San Francisco. Uber Tech ilianza tena upimaji huko San Fran na ilipanga kuendelea tena huko Tempe, Arizona na Pittsburgh baadaye siku, kulingana na msemaji. Gari moja la Uber ambalo linaendesha mwenyewe lilihusika katika ajali mbaya, labda ya kufariki ya watu watatu katika ajali hiyo Jumatatu. Hakika hii ni hit kubwa kwa mpango wa kuendesha gari wa Uber kuliko ajali ya hapo awali. Gari lililopigwa kwenye hit ilikuwa sedan ambayo ilikuwa na alama ya T-kwa ajali wakati Uber iliruka kupitia taa nyekundu kwenye makutano. Kumekuwa na ripoti kadhaa za gari za kuendesha gari za Uber zenyewe zikivunja sheria mbali mbali za kuendesha gari, kukwama kwa wengine na ikiweza kuwaumiza madereva wengine na abiria.	Fake
Education	Wanafunzi wa kubadilishana wanasema shule za upili za Amerika ni rahisi na huzaa juu ya michezo yote	Kitu cha kuchekesha kilitokea njiani kwa kufanya shule za upili za Amerika kuwa ngumu: Zote zilizosalia za ulimwengu wa uchumi zilifanya ngumu zaidi.	Legit
Education	Wakili wa zamani wa Merika na bibi wa zamani wa Bill Clinton, Barbara McQuade atafundisha sheria huko Michigan	"Mkazi wa zamani wa rais Bill Clinton na Mwanasheria wa Amerika Barbara McQuade watafundisha katika shule ya sheria ya Chuo Kikuu cha Michigan. Shule hiyo ilisema siku ya leo kuwa McQuade atafundisha sheria ya jinai, utaratibu wa jinai na sheria za usalama wa kitaifa zote kwa uelekezaji wa uhuru kulingana na Barbara McQuade. Ana shahada ya kwanza na shahada ya sheria kutoka Michigan. McQuade anasema kuwasaidia wanafunzi wa siku hizi wa huria kukuza uelewa wa kina wa mfumo wa sheria ""haijawahi kuwa muhimu zaidi."" Alikuwa mwendesha mashtaka mkuu wa shirikisho mashariki mwa Michigan kwa miaka saba, baada ya miaka 12 kama wakili msaidizi wa Merika. Utawala wa Trump wiki iliyopita uliwaambia mawakili wa Merika walioteuliwa na Rais Barack Obama wajiuzulu."	Fake
Education	Utawala unaweka Sheria mpya za Programu ya Utunzaji wa Watoto ya Shirikisho	Utawala wa Obama uliweka viwango vipya na hatua za udhibiti wa ubora wa mpango wa ruzuku ya utunzaji wa watoto Ijumaa, ikihitaji majimbo kufanya ukaguzi wa hali ya jinai juu ya waalimu na kufanya ukaguzi wa mwaka ambao hautatangazwa katika vituo vya utunzaji wa watoto.	Legit
Education	Torona Inafuta safari za Hatari za Amerika Kwa sababu ya Trump Aita Wachunguzi wa Chini wa Nishati wa Canada.	"Bodi kubwa ya shule ya Canada imepiga marufuku safari zote za siku zijazo kwa Merika kwa sababu ya wasiwasi juu ya maoni yaliyotolewa katika moja ya Mkutano wa Rais wa hivi karibuni wa Rais Trump ambapo ilinukuliwa Trump akisema ""Nikwambie kwa ukweli wote kwamba Canada sio chochote zaidi ya rundo la waoga wa chini. "" Nyimbo za wasichana huko California zimekuwa taasisi ya hivi karibuni ya Amerika kupiga safari ya nje kwa sababu hiyo hiyo. Bodi ya Shule ya Wilaya ya Toronto iliandika katika barua kwa wakuu Alhamisi kwamba ilibidi kufanya uchaguzi kupitisha kwa usawa wakati wa mkutano uliofanyika usiku wa kuamkia, ukichochewa na wasiwasi wa kulinda usalama wa wanafunzi na kushikilia ukweli wa maadili na usawa wa jamii. Canada wanaogopa kwamba maoni ya Trumps yanaweza kuathiri uhusiano wa baadaye kati ya mataifa haya mawili."	Fake
