Domain	Topic	News	Label
Entertainment	Rapper Wiz Khalifa anatoa hasira kwa kutembelea kaburi la Pablo Escobar	Msanii wa rap wa Amerika Wiz Khalifa amezua mzozo kabisa katika ziara yake nchini Colombia. Wakati wa safari ya kufanya sherehe katika Medellin mtu huyo mashuhuri alituma picha kwenye akaunti yake ya Instagram ya yeye akionekana kulipa ushuru kwa bwana wa dawa ya marehemu wa Colombia Pablo Escobar. Rapper huyo alituma picha moja ya maua yenye rangi nzuri kwenye jiwe kuu la kaburi. Wiz Khalifa pia alituma picha kadhaa za yeye akivuta bangi karibu na kaburi la Escobar na picha ya yeye akiweka nje ya eneo la mali - tovuti ya bomu na jaribio juu ya maisha ya Escobar miaka ya 80- ya zamani ilikuwa inamilikiwa na bwana wa madawa ya kulevya aliyekufa katika upigaji risasi na viongozi huko Medellin mnamo 1993.	Legit
Entertainment	Sote tunajua ni kwanini haki imekasirika kwa Tomi Lahren	"Tomi Lahren anayezaliwa na mwenezaji wa kubadilika anapata bahati mbaya juu ya kile haki inafikiria wanawake. Lahren mwenye umri wa miaka 24 anayejulikana kwa monologues yake ya video iliyotolewa kwa sauti ya kibinafsi ya kupendeza ikiongezeka hadi kujulikana kwa haraka ndani ya media ya mrengo wa kulia. Yeye ni mchanga blond aliyetolewa maoni na mwenye kihafidhina na haogopi kutumia rufaa ya ngono kama cudgel. ""Inaonekana wanawake wa kike ni juu ya uhuru wa kujieleza iwapo wanawake watakuwa wazito au huzidi yeye anasema kwenye video moja. Kuwa mwanamke mchanga, mrembo na mrembo pia alitoa kifuniko chake kufanya aina ya maoni ya kushangaza ambayo yangemeza mengine. kazi - kupendekeza, kwa mfano, kwamba wakimbizi wa Syria wanaokimbia kwa ajili ya maisha yao (na maisha ya watoto wao) walikuwa waoga ambao hawatakaa kutetea nchi yao. Wamarekani husimama na kupigania familia ya imani na uhuru unasoma maandishi yaliyofunikwa picha yake mwenyewe, ambayo aliigawia. Washami wakimbia. """	Legit
Entertainment	"Nyota ya ""Kutembea Aliyekufa"" Lauren Cohan anasema wahusika ""wa Chakula cha Kifo"""	"Lauren Cohen, nyota wa ""Walking Dead"" ya AMC anasema kwamba washiriki wake wana njia ya kipekee ya kushikamana. ""Tunapenda kuwa na mazishi ya bandia kwa washiriki wenzetu. Tunajifanya hawako ndani ya chumba na wanasema kumbukumbu za utani, utani na kumbukumbu juu ya mtu huyo. Ningeweza kusema tunamcheshi mgonjwa."""	Fake
Entertainment	Katy Perry hulipa ushuru kwa kuuawa katika ajali ya gari	"Katy Perry amelipa ushuru maalum kwa superfan wa miaka 18 ambaye alikufa katika ajali ya gari. Kulingana na mshirika wa KTBS-TV huko Shreveport Louisiana mwenye umri wa miaka 18 Katie Bell alikufa mwishoni mwa wiki iliyopita wakati alipoteza udhibiti wa gari lake na kugongana kichwa na gari lingine. Dereva mwingine pia aliuawa. ""Tunakuona malaika na tunakupenda na tutakukosa Perry tamil mnamo Jumanne asubuhi. Taa ya KC ni mshumaa wa Katie. Pumzika kwa Amani."" Alijumuisha moja ya video za Bell kwenye tweet yake. Habari za kifo cha Bell inaonekana zilichochea hashtag RIPKatycatKatie - Mashabiki wa Perry hujiita ""KatyCats"" - na Perry mwenyewe aligundua. Kuheshimu zaidi Bell Perry alibadilisha jina lake kwenye wasifu wake wa Twitter kuwa hashtag ya Bell."	Legit
Entertainment	Michelle Pfeiffer anasema yeye yuko wazi zaidi kufanya kazi sasa watoto wake wamezeeka	"Michelle Pfeiffer anasanya ratiba ya shughuli nyingi siku hizi. Akiongea na mkurugenzi Darren Aronofsky wa Jarida la Mahojiano alisema kazi yake ya Hollywood iliwekwa kwenye burner ya nyuma baada ya kupata watoto lakini sasa yuko tayari kurudi kwenye mchezo huo. ""Sijawahi kupoteza mapenzi yangu kwa kuigiza. Ninahisi kweli niko nyumbani kwenye sinema. Mimi ni mtu mwenye usawa zaidi wakati ninafanya kazi Pfeiffer alimwambia Aronofsky. Lakini nilikuwa mwangalifu kuhusu ni wapi nilipiga risasi hadi lini ilikuwa mbali ikiwa au ilifanya kazi na ratiba ya watoto. Na nilipata uteuzi ambao sikuwa mbaya. "" Kwa sasa yeye ni ""kiota tupu alisema; binti yake Claudia Rose Pfeiffer ni 24 na mtoto John Henry Kelley ni 22. Hii imempa uwezo wa kuchukua majukumu zaidi. Mwaka huu, atatokea kwenye HBO's The Wizard of Lies ""kando na"" Mama ""wa Robert De Niro Aronofsky na marekebisho ya Agatha Christie"" Murder on the Orient Express ambayo pia itaigiza nyota ya Johnny Depp, Josh Gad na Penelope Cruz. Alipata pia nyota katika filamu ya indie yuko wapi Kyra? "" ambayo ilizinduliwa mapema mwaka huu."	Legit
Entertainment	Picha ya Burn Baby Burn George Michael iliyonunuliwa kwa mnada na Waandamanaji wa Anti-Gay Orlando Baptist Prints inakwenda kwa moto	"Kama Wabatisti wa Westboro, kikundi cha Orlando Baptist hakiwezi kupitisha nafasi ya kucheza kwenye kaburi. Picha ya marehemu George Michael na msanii Damien Hirst imeuzwa kwa bei ya chini ya nusu milioni tu katika mnada wa kutoa misaada wiki iliyopita na kikundi hicho, ambacho kiliwasha kwa moto kama kitovu cha moto wao wa chuki. Maandamano dhahiri juu ya waimbaji wa marehemu kifo na kutukuzwa yalifanywa moja kwa moja kando na barabara kutoka kwa waimbaji wa marehemu wa ukumbusho wa umma. ""Mara baada ya kuwasha kila mtu kuwa mfuaji wa moto"" alisoma ishara moja. Lakini George Michael labda alikuwa amepata kicheko cha mwisho katika kupotosha kanisani kanisa hilo halinunulia uchoraji tu lakini hawakujua pesa hizo hazikuenda kwenye nyumba ya sanaa ya mifuko ya Mr. Uchoraji wa Upendo utaenda kwa upendo wa VVU / Ukimwi The Goss-Michael Foundation. Ufadhili huo ulianzishwa na Michael na mwenzi wake wa zamani Kenny Goss. Goss aliweka picha ya mchoro kwenye uandishi wa Instagram: ""Matokeo ya kushangaza ya 580 000 (karibu £ 461 011)."" Alifafanua Damien Hirst kama ""superstar"" na kuongeza: ""Asante Damien"" Turubai ilienda chini ya nyundo huko Dallas Texas huko MTV Re: fafanua hafla ya upendo. Michael ambaye alifurahiya kazi ya faida ya pop kama nusu ya duo Wham kabla ya kuanza kazi ya kufanikiwa ya solo alikufa Siku ya Krismasi mwaka jana akiwa na miaka 53. """	Fake
Entertainment	Bill O'Reilly akiomba msamaha baada ya kufanya mzaha wa kijamaa kuhusu mshirika	"Mtangazaji wa Fox News Bill O'Reilly aliomba msamaha Jumanne baada ya kuchomwa moto kwa kumkejeli nywele za mwanamke mweusi. Wakati wa kuonekana kwenye ""Marafiki wa Fox O'Reilly alijibu kwa kipande cha Rep. Maxine Waters (D-CA) akiwasilisha hotuba kwenye sakafu ya Baraza la Wawakilishi. Sikusikia neno ambalo alisema O'Reilly alisema juu ya Maji. Nilikuwa nikitazama wig ya James Brown. "" ""Ikiwa tunayo picha ya James Brown - ndiye huyo wig ambaye ameongeza. Maneno hayo yalishutumiwa sana kama wa rangi na wa kijinsia kwenye mtandao wa Twitter, ambapo jina la O'Reilly lilikuwa linaendelea Jumanne asubuhi na alasiri. Katika taarifa Jumanne alasiri. ""Reilly alionyesha kujuta kwa maelezo hayo. Kama nilivyosema mara nyingi mimi humheshimu Mwanachama wa Congress Maxine Waters kwa kuwa mkweli katika imani yake alisema. Nilisema hivyo leo kwa marafiki wa Fox wakimwita 'shule ya zamani.' Kwa bahati mbaya pia nilifanya kejeli juu ya nywele zake ambazo zilikuwa bubu. Ninaomba msamaha. """	Legit
Entertainment	Chris Pratt anajibu kwa wenye mwili wakimwambia yeye ni mjinga na mgonjwa	Chris Pratt mkubwa au mdogo amesikia yote, Walezi wa nyota ya Unique 37 hawachukui uvumi wa hivi karibuni kuwa amelala chini. Pratt amekuwa akirekodi mlo wake ambao anakula wakati wa kutazama sinema inayokuja ya Jurassic World 3. Ana kurusha kwenye mtandao kwa ushujaa sana baada ya wafuasi wengine kusema kuwa anahitaji kupata nyama kwenye mifupa yake baada ya nini vitafunio vyangu kwenye Instagram . Wengine walisema anaonekana kama mifupa na anahitaji msaada haraka. Chris alisema kuwa kwa sababu yeye ni kiume haimaanishi kwamba kutetemeka kwa mwili hakuumiza.	Fake
Entertainment	Alec Baldwin anasema alikaribia kucheza kwa Donald Trump kwenye 'SNL'	"Alec Baldwin amefunguka kuwa karibu alipita kucheza na Donald Trump kwenye ""Saturday Night Live."" Muigizaji huyo alimweleza Vanity Fair kwa hadithi yake ya jalada ya Aprili kwamba hapo awali alipitisha utayarishaji wa ""SNL"" Lorne Michaels kucheza na Trump lakini akabadilisha mawazo yake baada ya jukumu la filamu kupotea. ""Nilitakiwa kufanya filamu. Na watu ambao walikuwa wakifanya filamu walitakiwa kuweka pesa ili kuhakikisha kuwa nitalipwa alisema kwenye video iliyoambatana na hadithi ya jalada. Wala hawakuweka pesa hizo escrow. Na hapo ndipo nilipofungia na kusema kuwa sitaenda kufanya sinema na nitaenda kufanya jambo hilo na Lorne. Na ninafikiria mwenyewe 'Je! Ikiwa singefanya hivyo?' ... Imegeuka kuwa fursa hii nzuri. "" Maoni ya Baldwin yamekuwa maarufu sana hivi kwamba ameisisitiza kuwa kitabu kitakachokuja cha kisasa na kufanya rekodi yake ya 17 kama mwenyeji wa ""SNL"" mapema mwaka huu. Anazungumza juu ya kucheza Trump akifanya kazi na nyota ""SNL"" Kate McKinnon na Tina Fey na anaangazia nyota katika jukumu bora la maisha yake katika memoir yake mpya ""Walakini kutokana na mwezi ujao. Vanity Fair alichapisha Excerpt kipekee."	Legit
Entertainment	Ex-Fox News CFO haitakuwa na kinga katika uchunguzi wa Roger Ailes	"""Uchunguzi wa shirikisho unatokana na tuhuma za unyanyasaji wa kijinsia zilizotolewa dhidi ya mkuu wa zamani wa News Fox Roiles Ailes zilibadilika sana Jumanne na ripoti kwamba waendesha mashtaka watakanusha kinga yoyote kwa CFO ya Fox News. Mark Kranz Fox News 'afisa mkuu wa kifedha wa habari hadi kustaafu kwake mwisho August amepewa kinga kutoka kwa upande wa mashtaka badala ya ushirikiano wake na uchunguzi vyanzo viwili na maarifa ya jambo lililothibitishwa kwa CNNMoney.Lakini, zawadi hizo zimetolewa baada ya CFO kukataa kuonyesha katika tarehe za mahakama. Karne ya 21 Fox ilipotosha wawekezaji kwa kujificha malipo kwa wafanyikazi wa Fox News ambao walidai kwamba walinyanyaswa kingono na Ailes.Kama CFO Kranz alihusika moja kwa moja katika kuandaa taarifa za kifedha za kampuni hiyo na kwa hivyo ni shahidi muhimu katika upeanaji wa vyanzo vya habari. walikataa kutoa maoni yao juu ya suala hilo. Spika wa Idara ya Sheria na Shtaka la Amerika Ofisi ya Orney kwa Wilaya ya Kusini mwa New York ambayo inashughulikia uchunguzi pia ilikataa kutoa maoni. """	Fake
