Domain	Topic	News	Label
Sports	रोजर फेडरर ने मियामी ओपन में वापसी करते हुए फ्रांसिस टियाफो को हराया	"रोजर फेडरर ने मियामी ओपन में अपने तीन साल के पहले मैच में अमेरिकी किशोर फ्रांसेस टियाफो को हराया। स्विस 35 ने 19 वर्षीय क्वालीफायर को 7-6 (7-2) 6-3 से हराकर अपने 2017 के रिकॉर्ड को 14 जीत और एक हार में ले लिया। इस साल ऑस्ट्रेलियन ओपन और इंडियन वेल्स का खिताब जीतने वाले फेडरर ने 2016 में मियामी को बीमारी से बचाया था। शीर्ष वरीयता प्राप्त स्टेन वावरिंका ने होरासियो जेबालोस को 6-3 6-4 6-4 से हराया, जबकि महिलाओं की पांचवीं वरीयता प्राप्त अग्निसेका राडवांस्का ने मिर्जाना को 6-0 6-3 से हराया। Lucic-Baroni। स्विस वावरिंका ने कहा, ""यह काफी कठिन परिस्थितियों में बारिश हो रही है और वास्तव में हवा है। यह अदालत पर वास्तव में हवा है। यह कभी भी आसान नहीं है। मैं जिस तरह से खेल रहा था, मैं जिस तरह से आगे बढ़ रहा था उससे खुश हूं और सामान्य तौर पर मेरा रवैया वास्तव में सकारात्मक था।"" शानदार मैच। ” फेडरर ने उठाया जहां उन्होंने इंडियन वेल्स में अपना पहला 20 सर्विस पॉइंट जीतकर दुनिया के 101 वें नंबर पर टियाफोए से एक प्रभावशाली प्रयास को जीत लिया।"	Legit
Celebrity	'यह एक लंबा समय आ रहा था': हेइडी क्लम ने सील के 'ज्वालामुखीय तापमान' पर सात साल की शादी को समाप्त किया	सील और हेदी क्लम ने जोर देकर कहा अपने अलग होने की रिपोर्ट है कि सुपर मॉडल अब एक गुलाब गायक की ज्वालामुखी गुस्सा से चुंबन के साथ डाल सकता है के बावजूद 'सौहार्दपूर्ण' कल था।	Fake
Celebrity	लियाम पायने बस हैरी स्टाइल्स का सोलो म्यूज़िक डिसाइड किया	हैरी स्टाइल्स का नया संगीत सभी के लिए नहीं है, यहां तक कि उनके पूर्व वन डायरेक्शन बैंडमेट लियाम पायने के लिए भी नहीं।	Fake
Entertainment	हम सभी जानते हैं कि दाईं ओर टॉमी लारेन क्यों नाराज हैं	"कंजर्वेटिव डार्लिंग-परिया तोमी लाह्रेन महिलाओं के बारे में सही सोच के साथ एक दुर्घटना कोर्स कर रही है। लाहरन 24 वर्षीय एक वीडियो के लिए जाने जाते हैं, जो एक आत्म-उत्तेजित स्वर में दिया जाने वाला वीडियो है, जिसने दक्षिणपंथी मीडिया के भीतर तेजी से लोकप्रियता हासिल की। वह एक युवा ब्लोंड के रूप में राय देती थी और एक रूढ़िवादी के रूप में सेक्स अपील का उपयोग करने के लिए रूढ़िवादी और बेपरवाह थी। ""ऐसा लगता है कि नारीवादी अभिव्यक्ति की स्वतंत्रता के बारे में इतने लंबे समय तक हैं जब तक कि महिलाएं अधिक वजन वाली या ट्रांसजेंडर नहीं होती हैं, वह एक वीडियो में कहती हैं। एक युवा, आकर्षक, रूढ़िवादी महिला होने के नाते, उन्होंने उस तरह की चौंकाने वाली टिप्पणी करने के लिए अपना कवर दिया, जो अन्य प्रकार से डूब गई होंगी।"" करियर - उदाहरण के लिए, यह सुझाव देते हुए, कि सीरियाई शरणार्थी अपने जीवन (और अपने बच्चों के जीवन) के लिए भाग रहे थे, वे कायर थे जो अपने देश की रक्षा करने के लिए नहीं रुकते थे। अमेरिकी खड़े होकर विश्वास परिवार के लिए लड़ते हैं और स्वतंत्रता पाठ को पढते हैं। खुद की एक छवि, जिसे उसने ट्वीट किया था। सीरियाई भाग गए। """	Legit
Celebrity	बियॉन्से के गोद भराई के अंदर	जैसे आपको पता नहीं था कि बियॉन्से इसे बंद करने जा रहा था, जब यह उसके बच्चे को स्नान करने के लिए आया था।	Legit
Technology	क्या स्वायत्त कारें अकेले जाने के लिए तैयार हैं?	स्वायत्त वाहनों के लिए प्रशिक्षण के पहिए पहिये के पीछे मानव के आकार में आते हैं। लेकिन जब आप एक रोबोट कार से सुरक्षा चालक को हटाते हैं, तो दो टन धातु ढीली हो जाती है।	Legit
Education	ट्रोन कॉलिंग कैनेडियन कम ऊर्जा कायरों के कारण टोरोना कैंसेल्स यूएस क्लास ट्रिप्स।	"कनाडा के सबसे बड़े स्कूल बोर्ड ने राष्ट्रपति ट्रम्प की हालिया रैलियों में से एक पर की गई टिप्पणियों पर चिंताओं के कारण संयुक्त राज्य अमेरिका के सभी भविष्य के क्षेत्र के दौरे पर रोक लगा दी है, जहां ट्रम्प को यह कहते हुए उद्धृत किया गया था ""मैं आपको पूरी ईमानदारी से बताता हूं कि कनाडाई एक गुच्छा से ज्यादा कुछ नहीं हैं। कम ऊर्जा वाले कायर। "" कैलिफ़ोर्निया में एक लड़कियों का कोरस उसी कारण से एक विदेशी यात्रा पर जाने के लिए नवीनतम अमेरिकी संस्थान बन गया। टोरंटो डिस्ट्रिक्ट स्कूल बोर्ड ने गुरुवार को प्रिंसिपलों को लिखे पत्र में कहा कि छात्रों की सुरक्षा की रक्षा करने और समानता और समुदाय के मूल्यों के प्रति सच्चे रहने के लिए चिंताओं को हवा देने के लिए एक रात पहले आयोजित बैठक के दौरान सर्वसम्मति से पारित करने का विकल्प बनाना था। कनाडा के लोगों को डर है कि ट्रम्प की टिप्पणी दोनों देशों के बीच भविष्य के संबंधों को प्रभावित कर सकती है।"	Fake
Celebrity	मेघन मार्कल, केनसिंगटन पैलेस के प्रिंस हैरी के साथ कथित तौर पर आगे बढ़ रहे हैं	यदि रिपोर्टों पर विश्वास किया जाए, तो मेघन मार्कल अपने वर्तमान जीवनशैली को एक शाही उन्नयन देने के बारे में हो सकती है। सचमुच।	Legit
Celebrity	सेलेना गोमेज़ और जेनिफर एनिस्टन डबल डेट: जेन की टिप्पणियां eeknd ere Lies के बारे में	सेलेना गोमेज़ इस समय ईकेंड को डेट कर रही हैं। उनके सबसे अच्छे दोस्त जेनिफर एनिस्टन उनके समर्थक हैं लेकिन उनके रिश्ते को कभी-कभी अफवाह फैलाने वालों द्वारा निशाना बनाया जाता है।	Legit
Celebrity	यह आधिकारिक है: स्पाइस गर्ल्स रीयूनियन वास्तव में हो रहा है	"लगभग एक साल पहले, स्पाइस गर्ल्स अपने एकल ""एनाबे"" की 20 वीं वर्षगांठ मना रही थीं। एकल, जो समूह के पहले होने के बावजूद, लगभग हर देश में जारी किए गए चार्ट में शीर्ष पर पहुंचने में कामयाब रहा, पंचक के लिए अपने समय की सबसे बड़ी संगीत शक्तियों में से एक होने की मिसाल कायम की - एक नियति जो पूरी हुई थी दस गुना।"	Fake
