Domain	Topic	News	Label
Entertainment	Rapper Wiz Khalifa gây phẫn nộ khi đến thăm mộ của Pablo Escobar	Nghệ sĩ rap người Mỹ Wiz Khalifa đã khởi động khá nhiều tranh cãi trong chuyến thăm Colombia. Trong chuyến đi biểu diễn tại một lễ hội ở Medellin, người nổi tiếng đã đăng những bức ảnh lên tài khoản Instagram của anh ta về anh ta dường như để tỏ lòng tôn kính với trùm ma túy Colombia quá cố Pablo Escobar. Các rapper đã đăng một bức ảnh của những bông hoa đầy màu sắc ở bia mộ. Wiz Khalifa cũng đăng một số bức ảnh anh ta hút thuốc cần sa gần mộ của Escobar cũng như bức ảnh anh ta chụp bên ngoài một tài sản - nơi xảy ra vụ đánh bom và cố gắng sống trong cuộc sống của Escobar trong thập niên 80 - trước đây thuộc sở hữu của trùm ma túy đã chết trong vụ xả súng với chính quyền ở Medellin năm 1993.	Legit
Entertainment	Chúng ta đều biết tại sao quyền lại giận Tomi Lahren	"Tomi Lahren bảo thủ đã trở thành một khóa học sụp đổ về những gì phụ nữ nghĩ đúng. Lahren, một cô gái 24 tuổi nổi tiếng với những đoạn độc thoại bằng video được truyền tải bằng giọng điệu tự quảng cáo rầm rộ đã nổi lên nhanh chóng trong giới truyền thông cánh hữu. Cô gái tóc vàng trẻ tuổi có quan điểm và bảo thủ và không ngại sử dụng sự hấp dẫn giới tính như một món ăn. ""Có vẻ như các nhà nữ quyền đều có quyền tự do ngôn luận miễn là những người phụ nữ thừa cân hoặc chuyển giới mà cô ấy nói trong một video. sự nghiệp - ví dụ, gợi ý rằng những người tị nạn Syria chạy trốn để kiếm sống (và cuộc sống của con cái họ) là những kẻ hèn nhát sẽ không ở lại để bảo vệ đất nước của họ. Người Mỹ đứng lên và đấu tranh cho gia đình đức tin và tự do đọc văn bản được phủ lên trên một hình ảnh của chính mình, mà cô ấy đã tweet. Người Syria chạy trốn. """	Legit
Entertainment	"Ngôi sao của ""Walking Dead"" Lauren Cohan nói rằng dàn diễn viên tổ chức ""Death Dinners"""	"Lauren Cohen, ngôi sao của ""Walking Dead"" của AMC nói rằng các thành viên trong đoàn của cô có cách gắn kết độc đáo. ""Chúng tôi muốn tổ chức đám tang giả cho các bạn diễn của mình. Chúng tôi giả vờ họ không ở trong phòng và nói chia sẻ kỷ niệm, trò đùa và hồi tưởng về người đó. Tôi có thể nói chúng tôi có khiếu hài hước bệnh hoạn."""	Fake
Entertainment	Katy Perry vinh danh người hâm mộ bị giết trong một tai nạn ô tô	"Katy Perry đã dành một lời khen ngợi đặc biệt cho một siêu nhân 18 tuổi đã chết trong một tai nạn xe hơi. Theo công ty liên kết ABC KTBS-TV ở Shreveport Louisiana, Katie Bell, 18 tuổi, đã qua đời vào cuối tuần qua khi cô mất kiểm soát xe và va chạm trực diện với một phương tiện khác. Người lái xe khác cũng bị giết. ""Chúng tôi thấy bạn là thiên thần và chúng tôi yêu và sẽ nhớ bạn Perry đã tweet vào sáng thứ Ba. KC thắp một ngọn nến cho Katie. Nghỉ ngơi trong hòa bình."" Cô ấy đã đưa một trong những video của Bell vào tweet của mình. Tin tức về cái chết của Bell rõ ràng đã truyền cảm hứng cho hashtag RIPKatycatKatie - người hâm mộ Perry tự gọi mình là ""KatyCats"" - và chính Perry đã chú ý. Để tôn vinh hơn nữa, Bell Perry đã thay đổi tên của cô trên hồ sơ Twitter của mình thành hashtag của Bell."	Legit
Entertainment	Michelle Pfeiffer nói rằng cô ấy 'cởi mở hơn' để làm việc khi con cái đã trưởng thành	"Michelle Pfeiffer đang tung hứng một lịch trình bận rộn hơn nhiều trong những ngày này. Nói chuyện với đạo diễn Darren Aronofsky cho tạp chí Interview, cô cho biết sự nghiệp ở Hollywood của cô đã bị đẩy lùi sau khi cô có con nhưng giờ cô đã sẵn sàng để quay lại cuộc chơi. ""Tôi chưa bao giờ đánh mất tình yêu của mình với diễn xuất. Tôi cảm thấy thực sự ở nhà trên trường quay. Tôi là một người cân bằng hơn một cách trung thực khi tôi làm việc Pfeiffer nói với Aronofsky. Nhưng tôi khá cẩn thận về việc tôi đã quay trong bao lâu đã đi xa dù nó có hoạt động với lịch trình của bọn trẻ hay không. Và tôi đã rất kén chọn đến nỗi tôi không muốn. "" Cô ấy bây giờ là một ""người trống rỗng, cô ấy nói, con gái của cô ấy là Claudia Rose Pfeiffer 24 tuổi và con trai John Henry Kelley là 22. Điều này đã cho cô ấy khả năng đảm nhận nhiều vai trò hơn. Năm nay, cô ấy sẽ được nhìn thấy trong The Wizard of Lies của HBO ""cùng với"" Mẹ ""của Robert De Niro Aronofsky và bản chuyển thể của Agatha Christie"" Murder on the Orient Express, cũng sẽ có sự tham gia của Johnny Depp, Josh Gad và Penelope Cruz. Cô cũng đóng vai chính trong bộ phim indie Kyra ở đâu? "" được công chiếu đầu năm nay."	Legit
Entertainment	Burn Baby Burn George Michael được mua đấu giá bởi Anti-Gay Orlando Baptist Protesters đi lên trong ngọn lửa	"Giống như West Baptist Baptists, nhóm Orlando Baptist không thể bỏ qua cơ hội nhảy trên bia mộ. Một bức chân dung của George Michael quá cố của nghệ sĩ Damien Hirst đã được bán với giá chỉ dưới nửa triệu bảng trong một cuộc đấu giá từ thiện vào tuần trước của nhóm, người đã kịp thời đốt nó làm trung tâm cho ngọn lửa đáng ghét của họ. Một cuộc biểu tình rõ ràng về cái chết của ca sĩ quá cố và sự tôn vinh đã được tổ chức ngay đối diện trên đường phố từ đài tưởng niệm công chúng của ca sĩ quá cố. ""Một lần flamer luôn luôn là một flamer"" đọc một dấu hiệu. Nhưng George Michael có thể đã nhận được tiếng cười cuối cùng trong một sự mỉa mai châm biếm, nhà thờ không chỉ mua bức tranh mà không biết tiền sẽ không nằm trong phòng trưng bày của ông Hirsts mà thay vào đó là số tiền thu được từ việc bán George Beautiful Beautiful Bức tranh tình yêu sẽ đến tổ chức từ thiện HIV / Aids Quỹ Goss-Michael. Tổ chức từ thiện được thành lập bởi Michael và đối tác cũ của anh, Kenny Goss. Goss đã đăng một hình ảnh của tác phẩm nghệ thuật trên Instagram bằng văn bản: ""Kết quả tuyệt vời của 580 000 (khoảng £ 461 011)."" Ông mô tả Damien Hirst là một ""siêu sao"" thêm vào: ""Cảm ơn Damien"" Bức tranh đã đi dưới búa ở Dallas Texas tại MTV Re: định nghĩa buổi dạ tiệc từ thiện. Michael, người đã tận hưởng sự nghiệp nhạc pop béo bở khi là một nửa của bộ đôi Wham trước khi bắt đầu sự nghiệp solo thành công đã qua đời vào ngày Giáng sinh năm ngoái ở tuổi 53. """	Fake
Entertainment	Bill O'Reilly xin lỗi sau khi thực hiện trò đùa mang tính phân biệt chủng tộc về nữ nghị sĩ	"Người dẫn chương trình của Fox News, Bill O'Reilly đã xin lỗi hôm thứ ba sau khi bị sa thải vì chế nhạo mái tóc của một nữ nghị sĩ da đen. Trong một lần xuất hiện trên ""Fox Friends O'Reilly đã phản ứng với clip của Rep. Maxine Waters (D-CA) đang phát biểu trên sàn của Hạ viện. Tôi không nghe thấy một lời cô ấy nói O'Reilly nói về Waters. Tôi đang nhìn bộ tóc giả James Brown. "" ""Nếu chúng tôi có một bức ảnh của James Brown - đó là cùng một bộ tóc giả mà anh ấy đã thêm vào. Những lời nhận xét đã bị lên án rộng rãi là cả phân biệt chủng tộc và phân biệt giới tính trên Twitter, nơi tên của O'Reilly đang có xu hướng vào sáng thứ ba và chiều. ""Reilly bày tỏ sự hối hận vì những lời nhận xét. Như tôi đã nói nhiều lần tôi tôn trọng nữ nghị sĩ Maxine Waters vì chân thành trong niềm tin của cô ấy, ông nói. Hôm nay tôi lại nói trên Fox Friends gọi cô là 'trường học cũ'. Thật không may, tôi cũng đã làm một trò đùa về mái tóc bị câm. Tôi xin lỗi. """	Legit
Entertainment	Chris Pratt trả lời những kẻ giả mạo cơ thể nói với anh ta rằng anh ta hốc hác và trông ốm yếu	Dù lớn hay nhỏ, Chris Pratt chắc chắn đã nghe thấy tất cả, ngôi sao của Guardians of the Universe 37 không đưa ra những tin đồn mới nhất rằng anh ta đang nằm một cách ốm yếu. Pratt đã ghi lại những bữa ăn của mình rằng anh ta đang ăn trong khi quay bộ phim sắp tới Jurassic World 3. Anh ta quay trở lại trên instagram một cách rất táo bạo sau khi một số người theo dõi nói rằng anh ta cần lấy thịt trên xương sau khi What My Snack trên Instagram . Một số người nói rằng anh ta trông giống như một bộ xương và cần được giúp đỡ nhanh chóng. Chris nói rằng chỉ vì anh ta là nam không có nghĩa là cơ thể xấu hổ không bị tổn thương.	Fake
Entertainment	Alec Baldwin nói rằng ông gần như đã chuyển sang chơi Donald Trump trên 'SNL'	"Alec Baldwin đã tiết lộ rằng ông gần như đã qua chơi Donald Trump trong ""Saturday Night Live"". Nam diễn viên nói với Vanity Fair về câu chuyện trang bìa tháng 4 rằng ban đầu anh ấy đã chuyển lời đề nghị của nhà sản xuất ""SNL"" Lorne Michaels để đóng vai Trump nhưng đã thay đổi suy nghĩ sau khi vai diễn trong phim bị thất bại. ""Tôi đáng lẽ phải làm một bộ phim. Và những người đang làm phim được cho là ký quỹ để đảm bảo rằng tôi sẽ được trả tiền, anh ta nói trong một video đi kèm câu chuyện trang bìa. Và họ đã không đưa tiền vào ký quỹ. Và đó là khi tôi gác máy và nói rằng tôi sẽ không đi làm phim và tôi sẽ đi làm điều đó với Lorne. Và tôi nghĩ với bản thân mình 'Nếu tôi không làm điều đó thì sao?' ... Hóa ra đây là cơ hội tuyệt vời này. "" Ấn tượng của Baldwin đã nổi tiếng đến mức ông đã đưa nó vào một cuốn sách châm biếm sắp tới và xuất hiện lần thứ 17 với tư cách là chủ nhân của ""SNL"" vào đầu năm nay. Anh ấy nói về việc Trump chơi với các ngôi sao ""SNL"" Kate McKinnon và Tina Fey và đóng vai chính trong cuộc đời anh ấy trong cuốn hồi ký mới ""Tuy nhiên sẽ ra mắt vào tháng tới. Vanity Fair đã xuất bản một trích đoạn độc quyền."	Legit
Entertainment	Ex-Fox News CFO sẽ không có quyền miễn trừ trong cuộc điều tra của Roger Ailes	"""Cuộc điều tra liên bang xuất phát từ các cáo buộc quấy rối tình dục đối với cựu giám đốc Fox News Roger Ailes đã có một bước chuyển mạnh mẽ vào thứ ba với một báo cáo rằng các công tố viên sẽ từ chối bất kỳ sự miễn trừ nào đối với Giám đốc tài chính của Fox News. Tháng 8 đã được đề nghị miễn trừ truy tố để đổi lấy sự hợp tác của anh ta với cuộc điều tra hai nguồn có kiến thức về vấn đề được xác nhận với CNNMoney. Tuy nhiên, những lời đề nghị này đã được rút ra sau khi CFO từ chối trình bày tại ngày ra tòa. 21st Century Fox đã lừa các nhà đầu tư bằng cách che giấu các khoản thanh toán cho các nhân viên của Fox News, những người cáo buộc rằng họ đã bị Ailes quấy rối tình dục. Vì CFO Kranz đã trực tiếp tham gia vào việc lập báo cáo tài chính của công ty và do đó có khả năng là nhân chứng chính trong cuộc điều tra các nguồn tin. từ chối bình luận về vấn đề này. Người phát ngôn của Bộ Tư pháp và Hoa Kỳ Văn phòng của Orney cho Quận phía Nam New York đang xử lý cuộc điều tra cũng từ chối bình luận. """	Fake
