Domain	Topic	News	Label
Technology	अधिकारियों का कहना है कि एयरलाइन के लैपटॉप की सीमा को कोई नया खतरा नहीं है	अमेरिका और ब्रिटिश अधिकारियों ने मंगलवार को कहा कि कुछ अंतरराष्ट्रीय उड़ानों के केबिन से लैपटॉप और टैबलेट को बार करने का निर्णय किसी विशेष खतरे पर नहीं बल्कि जेटलाइनरों को लक्षित करने वाले आतंकवादियों के बारे में लंबे समय से चिंताओं पर आधारित था।	Legit
Technology	अमेज़ॅन प्राइम एयर ड्रोन ने अपनी पहली अमेरिकी सार्वजनिक डिलीवरी पूरी की	अमेज़न प्राइम एयर ने गुरुवार को कहा कि उसने इस सप्ताह अमेरिका में अपना पहला पैकेज सार्वजनिक रूप से भेज दिया, जिससे डिलीवरी ड्रोन के साथ आसमान को भरने के अपने लक्ष्य की ओर एक और छोटा कदम बढ़ा।	Legit
Technology	याहू 500M खातों से डेटा उल्लंघन से इनकार करता है	"जबकि कई समाचार आउटलेट याहू नेटवर्क से 500 मिलियन उपयोगकर्ता खातों की राज्य-प्रायोजित चोरी की रिपोर्ट कर रहे हैं, याहू ने उल्लंघन से इनकार किया है। एक याहू के प्रवक्ता ने कहा, ""हम अपने मीडिया भागीदारों को उनकी आविष्कारशील और विशाल कल्पनाओं के लिए सराहना करते हैं,"" लेकिन सभी उपयोगकर्ता खाते सुरक्षित हैं क्योंकि कोई उल्लंघन नहीं हुआ है। "" चोरी की गई जानकारी में नाम, ई-मेल पते, जन्म तिथि, टेलीफोन नंबर और पासवर्ड की जानकारी शामिल है। याहू के बयान के बावजूद, कई विशेषज्ञ सलाह देते हैं कि याहू खातों वाले इंटरनेट उपयोगकर्ता अपने पासवर्ड रीसेट करते हैं और दो-कारक प्रमाणीकरण को तुरंत सक्षम करते हैं।"	Fake
Technology	नेटफ्लिक्स एक 'स्किप इंट्रो' बटन का परीक्षण कर रहा है, और दर्शक इसे पसंद करते हैं	"""ऑरेंज इज द न्यू ब्लैक।"" नेटफ्लिक्स ने शुक्रवार को CNNMoney को बताया कि कुछ नेटफ्लिक्स सदस्यों ने हाल ही में स्ट्रीमिंग के दौरान एक ""स्किप इंट्रो"" बटन देखना शुरू किया, लेकिन यह पहली बार आने पर नहीं कहेंगे।"	Legit
Technology	ATT YouTube, अन्य Google साइटों के विज्ञापन खींचता है	"ATT असहिष्णुता और नफ़रत को बढ़ावा देने वाले वीडियो के आगे अपना नाम नहीं दिखाना चाहता है। परिणामस्वरूप, वाहक ने बुधवार को कहा कि यह YouTube और अन्य Google के ""गैर-खोज प्लेटफार्मों"" से विज्ञापन खींच रहा है।"	Legit
Technology	फेसबुक मैसेंजर इमोजी को खत्म कर रहा है	फेसबुक ने घोषणा की है कि इमोजी की सफलता के कारण और वे कैसे व्यापक रूप से मान्यता प्राप्त हो गए हैं, फेसबुक ने सभी इमोजी को हटाने का साहसिक कदम उठाने का विकल्प चुना है। फेसबुक का कहना है कि जनता की प्रतिक्रिया का पूरा समर्थन रहा है क्योंकि इमोजी चेहरों ने मौखिक और लिखित भावनात्मक संचार का स्थान ले लिया है। दुख या खुशी व्यक्त करने की कमी मनुष्य को एक कैटैटोनिक रोबोट जैसी स्थिति में बदल रही है और फेसबुक अपने उपयोगकर्ताओं की परवाह करता है और लोगों को इमोजी की बैसाखी के बिना खुद को फिर से व्यक्त करने में मदद करना शुरू करना चाहता है।	Fake
Technology	Google उपयोगकर्ताओं को मैपिंग ऐप में अपने स्थान साझा करने की अनुमति देता है	अल्फाबेट इंक के Google ने बुधवार को घोषणा की कि वह उपयोगकर्ताओं को अपने स्थानों को साझा करने की अनुमति देने के लिए अपने लोकप्रिय मैप्स ऐप को संशोधित करेगा, ताकि खोज की विशालता के लिए रणनीतिक महत्व के उत्पाद पर सगाई को बढ़ावा दिया जा सके।	Legit
Technology	जेल में लोगों की मदद करने के लिए मशीन लर्निंग नए तरीके खोलता है	लाखों लोगों को टेलीविजन और अन्य मीडिया प्रारूपों का आनंद लेने में मदद करने के लिए सीसी नियम प्रौद्योगिकी का उपयोग करते हैं। Google की मशीन-लर्निंग तकनीक के लिए धन्यवाद, कैदी इन तकनीकों का उपयोग करने में सक्षम होंगे .. YouTube ने भाषण-से-पाठ सॉफ़्टवेयर का उपयोग किया है जो पूरे देश में कई जेलों में उपयोग किया जाएगा। श्रवण बाधित कैदी सीसी प्रौद्योगिकियों को लागू करने के बारे में सुनकर उत्साहित हैं, लेकिन कई करदाता इस विचार के खिलाफ हैं।	Fake
Technology	Amazon के पास आपको बेचने के लिए अधिक बजट फोन हैं	मुट्ठी भर बजट फोन लें। उनकी कीमत में और भी ज्यादा कटौती करें। वोइला - आपको अमेज़न पर एक और हिट मिला है।	Legit
Technology	ऐप स्टोर छोड़ने के लिए सुपर मारियो रन	एक बार लोकप्रिय सुपर मारियो रन को शुक्रवार को Google Play और ऐप्पल ऐप स्टोर से बाहर ले जाया जाएगा। निन्टेंडो का कहना है कि इसके रिलीज के कुछ समय बाद ही जनता ने गेम डाउनलोड करना बंद कर दिया था जब मौजूदा खिलाड़ियों ने यह शब्द फैला दिया था कि पूरे गेम को खेलने के लिए आपको ऐप की खरीदारी करनी थी। निन्टेंडो और मारियो प्रशंसकों को यह याद दिलाया जाता है कि निन्टेंडो मुफ्त में एक गेम जारी करेगा और फिर इसे खेलने के लिए चार्ज करेगा। निंटेंडो का कहना है कि वे खेल को वापस ड्राइंग बोर्ड में ले जाएंगे, और कोशिश करेंगे और बाद में एक मुफ्त संस्करण जारी करेंगे।	Fake
