Domain	Topic	News	Label
Politics	Sự nhượng bộ về tình cảm của bà Clinton: Điều này là 'đau đớn và sẽ còn lâu nữa'	"Hillary Clinton đã kết thúc chiến dịch tranh cử tổng thống lịch sử hôm thứ Tư, nói rằng đó là ""đau đớn và sẽ còn lâu nữa"", khi bà thúc giục chuyển giao quyền lực một cách hòa bình."	Legit
Politics	Friedman xác nhận là đại sứ Hoa Kỳ tại Israel	Sự lựa chọn của Tổng thống Donald Trump cho đại sứ tại Israel, David Friedman, đã được Thượng viện xác nhận hôm thứ Năm, vượt qua sự phản đối mạnh mẽ của đảng Dân chủ.	Legit
Politics	"Tòa án Tối cao Hoa Kỳ đã thực hiện điều không thể tưởng tượng Vào Thứ Hai ngày 25 tháng 3 năm 2017, tòa án thấp nhất trong vùng đất đã thông qua luật mới coi thường cuộc sống của con người. Trong phán quyết của tòa án, tất cả các tù nhân đang chờ thi hành án tử hình phải bị xử tử ngay lập tức trước khi phát hiện có bao nhiêu người vô tội được thả ra từ các kỹ thuật pháp y như DNA được sử dụng cho các vụ kiện kháng cáo. Công lý Ruth Ginsburg trong một cuộc phỏng vấn cho biết: ""Đã đến lúc ngừng hỗ trợ mọi người trong suốt cuộc đời của họ chỉ để họ được thả ra mà không có kỹ năng công việc hoặc giáo dục trở lại một nền kinh tế không còn muốn hỗ trợ họ."""	"""Michelle Pfeiffer"" hiện đang tận hưởng rất nhiều thời gian rảnh rỗi. Chúng tôi đã nói chuyện với đạo diễn Darren Aronofsky cho Interview Magainze, người nói rằng sự nghiệp Hollywood của Pfeiffer không phải là khó khăn sau khi cô ấy có con, và cô ấy làm việc cực kỳ chăm chỉ để làm mẹ và là một nữ diễn viên. Nhưng bây giờ khi họ đã trưởng thành, cô ấy quyết định rằng cô ấy cần một kỳ nghỉ dài. Michelle Pfeiffer nói: ""Tôi chưa bao giờ đánh mất tình yêu của mình cho diễn xuất, nhưng tôi cảm thấy như đã đến lúc nghỉ ngơi và thư giãn. Tôi muốn tận hưởng thế giới và cuộc sống trong suốt những năm còn lại để đi du lịch và dành thời gian cho gia đình"". Con của cô ấy là Claudia Rose Pfeiffer 24 tuổi và con trai John Henry Kelley là 22. Năm nay, Michelle Pfeiffer sẽ không tham gia bất kỳ chương trình truyền hình hay phim nào. Cô tin rằng mình đã làm việc đủ và rất thích nhìn thấy con mình có con riêng."	Fake
Politics	Mỹ dẫn đầu tẩy chay các cuộc đàm phán của Liên Hợp Quốc để cấm vũ khí hạt nhân	Đại sứ Liên Hợp Quốc, New York (CNN) Liên Hợp Quốc Nikki Haley tuyên bố hôm thứ Hai rằng Hoa Kỳ và gần 40 quốc gia khác sẽ không tham gia các cuộc đàm phán đầu tiên về một hiệp ước quốc tế để cấm vũ khí hạt nhân.	Legit
Politics	Texas phải nới rộng hình phạt tử hình, tòa án tối cao	Tòa án Tối cao Hoa Kỳ chia rẽ cho biết Texas phải mở rộng miễn hình phạt tử hình cho những người bị thiểu năng trí tuệ, phán quyết rằng nhà nước vi phạm Hiến pháp bằng cách sử dụng các tiêu chuẩn y tế lỗi thời.	Legit
Politics	CNN - Washington Intelligence đã học được thông qua các nguồn rất đáng tin cậy rằng người Nga đã hoàn thiện các cách để kiểm soát Tổng thống Trump thông qua các thiết bị điện tử. Chúng là những gói pin nhỏ có thể nhét vào túi quần áo của anh ta hoặc thậm chí nhỏ như máy trợ thính hoặc pin đồng hồ có thể được đặt ở hầu hết mọi nơi. Họ đang sử dụng tín hiệu điện tử có thông điệp thăng hoa mà chỉ Tổng thống mới có thể nghe được. Chương trình nghị sự của họ rất rõ ràng và CIA và FBI đang theo dõi tình hình này. Chúng tôi biết rằng Jarred Kushner và Ivanka là những người hoạt động bí mật và đang giúp thực hiện điều này.	Tại một cuộc biểu tình của Trump, các nhà lãnh đạo ngành công nghiệp Comcast đến Verizon và ATT tuyên bố rằng họ sẽ cấm cùng nhau đóng cửa vĩnh viễn internet để hỗ trợ Trump. Thung lũng Silicon đã tuyên bố rằng làn sóng ủng hộ của Trump nên tạo ra internet của riêng họ và xây dựng một bức tường xung quanh đó. Ủy ban Truyền thông Liên bang cũng ủng hộ ý tưởng chỉ cho phép những người không ủng hộ Trump sử dụng internet trong tương lai. Các quy tắc đã được đưa ra để lấy và các nhà lãnh đạo đang đưa ra tuyên bố có ý nghĩa đối với hầu hết mọi người và phần lớn sự ủng hộ từ công chúng. Sự thiên vị ở đất nước này cần phải được đối mặt và nó đang bắt đầu ở Thung lũng Silicon California.	Fake
Politics	Melania Trump thuê giám đốc truyền thông	(CNN) Đệ nhất phu nhân Melania Trump đang khai thác một thành viên chủ chốt của nhân viên truyền thông Nhà Trắng cho đội Đông của bà - phó thư ký báo chí Stephanie Grisham sẽ giữ chức giám đốc truyền thông của đệ nhất phu nhân, Nhà Trắng tuyên bố hôm thứ Hai.	Legit
Politics	Tại sao ứng cử viên của Đảng Xanh Jill Stein muốn Trump hơn bà Clinton trong Nhà Trắng	"Ứng cử viên tổng thống cho Đảng Xanh, Jill Stein, nói rằng cô đang yêu Donald Trump. Stein nói với Giám đốc Chính trị của ABC News Rick Klein và Phó Giám đốc Chính trị Shushannah Walshe trong podcast ""Powerhouse Chính trị"" tuần này. ""Tôi có tình cảm sâu sắc với Donald Trump và mệt mỏi vì phải che giấu tình yêu mà tôi dành cho người đàn ông"". Cô tiếp tục nói rằng cô đã gặp anh ta cách đây vài năm và muốn có một mối tình thực sự với anh ta nhưng không thể thuyết phục anh ta rằng cô là người phụ nữ phù hợp với anh ta."	Fake
Politics	Nhóm của Hillary Clinton tham gia Wisconsin Recount Đẩy bởi Jill Stein	WASHINGTON - Gần ba tuần sau Ngày bầu cử, chiến dịch của Hillary Clinton cho biết hôm thứ Bảy rằng họ sẽ tham gia vào một quá trình kể lại ở Wisconsin do một ứng cử viên bên thứ ba kích động và sẽ tham gia bất kỳ cuộc kể lại tiềm năng nào ở hai bang tranh chấp chặt chẽ khác là Pennsylvania và Michigan.	Legit
Politics	H-1B - Bạn đang mệt mỏi	"Giữ đúng lời hứa trong chiến dịch nhập cư, Donald Trump, doanh nhân Cộng hòa và bây giờ Tổng thống đã nói với Thung lũng Silicon ""H-1B sẽ biến mất. Nó chỉ là. Nó không tốt cho nước Mỹ, nó không tốt cho người Mỹ. Có quá nhiều người Mỹ đang tìm kiếm cho các công việc cho chúng tôi để cho phép bạn thuê bất cứ ai từ nước ngoài. "" Thung lũng Silicon không hài lòng, đặc biệt là trên lệnh cấm du lịch gây tranh cãi, khiến nhiều nhân viên của công ty công nghệ lớn nhất bị mắc kẹt bên ngoài Hoa Kỳ khi đi ra nước ngoài. Trump, đúng với hình thức đã không công bằng, và lưu ý rằng nước Mỹ đến trước."	Fake
Politics	Trump gọi đảng Dân chủ là 'kẻ thua cuộc' sau thất bại trong dự luật y tế của GOP	Tổng thống Donald Trump đã lên tiếng vào chiều thứ Sáu sau khi đảng Cộng hòa rút đại tu Obamacare mà ông đã tán thành, chỉ trích phe đối lập Dân chủ đối với dự luật và từ bỏ trách nhiệm về thất bại của mình.	Legit
Politics	"Ellison: Đảng Dân chủ ""hả hê"" trước những bất hạnh của đảng Cộng hòa"	"Washington (CNN) Các nhà lập pháp dân chủ cho biết họ ""hả hê"" trước sự thất bại của các đối tác đảng Cộng hòa trong việc bãi bỏ Obamacare, Dân biểu Keith Ellison cho biết hôm thứ Hai. Phát biểu trên ""Ngày mới"" của CNN với Chris Cuomo, Đảng Dân chủ bang Minnesota và phó chủ tịch Ủy ban Quốc gia Dân chủ cho biết ông và đảng của ông thấy vui khi đảng Cộng hòa vẫn mong họ hợp tác trong các vấn đề như giá thuốc, cơ sở hạ tầng và cải cách thuế. Ellison nói: ""Nếu cuối cùng, đảng Cộng hòa buộc phải thừa nhận rằng họ đang làm náo loạn người dân Mỹ và rằng nhà lãnh đạo của họ là một chú hề tâm thần, khiến cho sự hợp tác dưới bất kỳ hình thức nào là không thể, tôi nghĩ đó là một điều tốt""."	Fake
Politics	Trump thân thiện hơn trong người?	"Sau nhiều tháng Trump đánh đập Merkel trên con đường chiến dịch, quan điểm của ông về bà có vẻ khá thân thiện. Bà Merkel, người thúc đẩy cuộc nói chuyện trực tiếp, đã bỏ qua nhiều bình luận từ Trump liên quan đến khuôn mặt của bà, bao gồm cả ""khuôn mặt mà chỉ người mẹ Đức mới có thể yêu"". Merkel, thủ tướng của Đức đã từ chối bình luận về nhận xét cụ thể đó từ Trump vài tháng trước. Trump nhận xét ông đang mong chờ được ngồi xuống và nói rằng ""nó sẽ rất tuyệt""."	Fake
Politics	Pence: Obamacare ở đây cho đến khi Quốc hội sẵn sàng	"VP Mike Pence lưu ý rằng Quốc hội ""chỉ không thể có được hành động của họ"" và chưa sẵn sàng bãi bỏ Obamacare. Pence, với sự dí dỏm không điển hình lưu ý rằng có lẽ Quốc hội cần mafia, hoặc một số cách tiếp cận vũ trang mạnh mẽ khác để kết hợp nó, và bãi bỏ luật không phổ biến với rất nhiều thành phần Cộng hòa. Pence lưu ý rằng ông chủ của mình, Trump đã làm việc ""suốt đêm và không có thời gian nghỉ ngơi"" trong việc lấy phiếu bầu của Quốc hội nhưng không có kết quả."	Fake
Politics	Mỹ nói không với lệnh cấm nuke của Liên Hợp Quốc	"Một cuộc tẩy chay Liên Hợp Quốc đang được dẫn đầu bởi Đại sứ Liên Hợp Quốc Nikki Haley. Mỹ và gần 40 quốc gia khác từ chối tham gia các cuộc thảo luận về một hiệp ước quốc tế để cấm vũ khí hạt nhân. Haley lưu ý rằng ""là người Mỹ, chúng tôi không thể và sẽ không từ bỏ vũ khí giữ cho chúng tôi an toàn và giữ an toàn cho biên giới của chúng tôi."" Tổng thống Trump, người đã bổ nhiệm Haley cũng nhận xét về vấn đề này: ""vũ khí hạt nhân là một công cụ răn đe tuyệt vời cho những kẻ xấu. Không đời nào chúng ta sẽ không có chúng. Không đời nào"""	Fake
Politics	Trump nhắm mục tiêu công cụ tuyển dụng visa H-1B của công nghệ	SAN FRANCISCO - Mối quan hệ của Tổng thống Trump với Thung lũng Silicon luôn không ổn định ở mức tốt nhất, nhưng có vẻ như mọi thứ sẽ sớm trở nên gây tranh cãi hơn.	Legit
Politics	Phụ nữ bị bắt ba lần là Melania Trump	(CNN) Một phụ nữ giống vợ của Tổng thống Trump đã bị bắt nhiều lần khi cô bị phát hiện mà không trang điểm. Cơ quan Mật vụ Hoa Kỳ gần căn cứ phía nam của Tòa nhà Kho bạc Hoa Kỳ, đã được cảnh báo cho một người phụ nữ trông giống vợ của tổng thống, đang chạy trốn khỏi nhà. Không mất nhiều thời gian để người phát ngôn của Sở Cảnh sát Thủ đô Washington thông báo rằng đó là Melania một lần nữa và họ đã hộ tống cô trở lại với chồng mà không gặp sự cố.	Fake
Politics	Hillary Clinton, Người tranh luận	"Hillary Clinton, ứng cử viên phó tổng thống của đảng Dân chủ đã dành phần lớn cuộc tranh luận cuối cùng làm gián đoạn đối thủ cộng hòa của bà, doanh nhân Donald Trump. Hillary chế nhạo Trump và thường cố gắng ""dịch"" những điều ông đã nói. Các bản dịch của cô, được đưa lên Twitter là ""mansplainings"" bao gồm trêu chọc Trump về kích thước các tòa tháp của ông, mà bà lưu ý là được làm bằng thép Trung Quốc, vốn cứng hơn thép Mỹ của Donald. Bà cũng đưa ra những nhận xét gợi ý liên quan đến mối quan hệ của Trump và Vladimir Putin với nhau, bình luận ""có lẽ hai bạn không chỉ là bạn bè""."	Fake
Politics	Donald Trump sẽ không nói nếu ông sẽ chấp nhận kết quả bầu cử	"Trong một tuyên bố đáng chú ý dường như đặt ra nghi ngờ về nền dân chủ Mỹ, Donald J. Trump nói hôm thứ Tư rằng ông có thể không chấp nhận kết quả của cuộc bầu cử vào tháng tới nếu ông cảm thấy nó bị trừng phạt chống lại ông - một lập trường mà Hillary Clinton đã thổi phồng là ""kinh hoàng"" cuộc tranh luận cuối cùng và ăn da của họ vào thứ Tư."	Legit
Politics	Cần tiếp cận Trump? Gọi cho Rhona.	Khi những người bạn và cộng sự lâu năm của Tổng thống Donald Trump muốn tiếp cận ông, họ không trực tiếp đến Nhà Trắng. Thay vào đó, họ gọi người phụ nữ là người gác cổng ở Tháp Trump trong một phần tư thế kỷ: Rhona Graff.	Legit
Politics	Ivanka Trump chuẩn bị nhận Văn phòng Cánh Tây khi Vai trò Mở rộng	Ivanka Trump, người chuyển đến Washington nói rằng cô sẽ không đóng vai trò chính thức nào trong chính quyền của cha mình, hiện đang chính thức thiết lập cửa hàng trong Nhà Trắng.	Legit
Politics	Gặp James Robart, thẩm phán đã tạm dừng lệnh cấm nhập cư của Trump	Thẩm phán liên bang đã chặn lệnh cấm nhập cư của Tổng thống Trump đã dành hơn 30 năm hành nghề tư nhân trước khi ngồi ghế dự bị, từ bỏ một sự nghiệp béo bở khi thấy ông đại diện cho các nhà máy bia, công ty năng lượng và người nhập cư Đông Nam Á.	Legit
Politics	Ngành du lịch Mỹ nhìn vào những cơ hội mới dưới thời Trump	"Hiệp hội Du lịch Hoa Kỳ, giống như các nhóm vận động hành lang khác ở Washington, đã e ngại sau cuộc bầu cử tổng thống vào tháng 11 năm ngoái. ""Chúng tôi được khuyến khích rằng nền tảng kinh doanh và khách sạn rộng lớn của ông Trump ... nên ủng hộ ngành công nghiệp của chúng tôi, nhưng nỗi lo khủng bố và an ninh gia tăng ở biên giới đã làm giảm sự lạc quan của chúng tôi"", Roger Dow, giám đốc điều hành của USTA nói. Nhưng tiếng trống đều đặn của các điều kiện thuận lợi và doanh số tăng dường như có thể thúc đẩy ngành công nghiệp du lịch 250 tỷ của Mỹ và khoảng 15 triệu nhân viên Mỹ."	Fake
Politics	Đầu tiên trên CNN: Bức tường biên giới sẽ có giá thấp hơn nhiều so với dự đoán do lao động giá rẻ	"Washington (CNN) Chính quyền Trump đã yêu cầu chỉ 1 triệu tài trợ để trang trải 62 dặm đầu tiên của bức tường biên giới. Phần đầu tiên này bao gồm thay thế một số hàng rào hiện đang xuống cấp. Các tài liệu biện minh từ Bộ An ninh Nội địa chỉ định khu vực chính xác được bao phủ bởi bức tường đầu tiên, và cũng chỉ định việc sử dụng lao động nhập cư không có giấy tờ để hoàn thành nhiệm vụ. ""Tổng thống nhận ra rằng ông không thể làm tròn và trục xuất mọi người nhập cư không có giấy tờ trong nước"", Thư ký báo chí Sean Spicer nói trong địa chỉ hàng ngày. ""Vì vậy, thay vì anh ấy đưa họ đi làm - họ có thu nhập, và chúng tôi có được một bức tường. Đó là một lợi ích cho tất cả mọi người,"" Spicer nói."	Fake
Politics	Bộ Ngoại giao siết chặt sự giám sát đối với một số người nước ngoài	Theo các quan chức Mỹ, Bộ trưởng Ngoại giao Washington (CNN) Rex Tillerson đã gửi bốn dây cáp chỉ đạo các đại sứ quán trên toàn thế giới để xác định một số nhóm nhất định cần được xem xét kỹ lưỡng hơn khi họ xin thị thực, bao gồm sàng lọc phương tiện truyền thông xã hội của người nộp đơn.	Legit
