Domain	Topic	News	Label
Celebrity		क्या ड्रेक का नया एकल मतलब वह पहले से ही अपने सबसे हालिया एल्बम के साथ किया है?	Legit
Celebrity	एंजेलीना जोली अमल अलामुद्दीन: यह आ गया है	हेन जॉर्ज और अमल क्लूनी ने दूसरी बार 25 अक्टूबर को अपनी शादी का जश्न मनाया, एक बार फिर दो बहुत ध्यान देने वाले मेहमान गायब थे - ब्रैड पिट और एंजेलीना जोली कहीं नहीं दिख रहे थे	Fake
Celebrity	गोरे लोगों के लिए एक बात? ब्रैड पिट ith मार्गोट रोबी पर जाने के लिए तैयार है	"ब्रैड पिट वापस गोरों के लिए है? एंजेलीना जोली के साथ अपने विभाजन के तुरंत बाद, अफवाहों ने एलाइड अभिनेत्री मैरियन कोटिलार्ड के साथ पिट की सेट-केमिस्ट्री के बारे में चर्चा की। अपने लंबे करियर में अपने कई सह-कलाकारों से जुड़े, जिसमें उनके जल्द ही होने वाले भूतपूर्व होना भी शामिल है, कोई आश्चर्य नहीं कि जोली उन्हें गोरा धमाकेदार, मार्गोट रोबी के साथ काम करने के लिए उत्सुक नहीं थी। ओके रिपोर्ट्स के मुताबिक, ""उन्हें लगता है कि वह अभी हॉलीवुड की सबसे हॉट लड़की है।"" सूत्र के अनुसार, 41 वर्षीय अभिनेता और प्लान बी फिल्म्स के अध्यक्ष ने कई फिल्म परियोजनाओं के लिए उन्हें लुभाने की कोशिश की है। यह एंजी के साथ एक व्यथा विषय था जिसने उन्हें कुछ समय के लिए एक साथ काम करने से रोक दिया था। अब वह फिर से सिंगल है आप ब्रैड से जुनून के बाद जाने की उम्मीद कर सकते हैं। "" और उसे कौन दोषी ठहरा सकता है? 26 साल की ऑस्ट्रेलियाई सुंदरी को '' नई एंजेलिना जोली '' के रूप में जाना जाता है, जो सेलिब्रिटी पत्नियों के दिलों में डर पैदा करती है। बीमार स्मिथ सहित विवाहित अभिनेताओं के साथ ऑन-सेट केमिस्ट्री के लिए उसकी अपनी प्रतिष्ठा है। हॉट एंड हैवी सेक्स सीन्स और उनके फोटो की जगह कोरी ऑफ कैमरा लग रहे थे, स्मिथ को खुद ट्विटर पर अफवाहों को दूर करना था, ""यह निराशाजनक है कि सेट पर घूमने को संदर्भ से बाहर ले जाया जा सकता है।"""	Fake
Celebrity	टॉम हिडलस्टन ने नए एल्बम पर टेलर स्विफ्ट को देखा, जो यहाँ है	जो लोग स्विफ्ट के जीवन में थे या टेलर स्विफ्ट के जीवन में सबसे अधिक संभावना थी, उन्हें पता था कि उन्हें उनके एल्बम पर बुलाया जाएगा, टॉम हिडलेस्टन ने सोचा कि वह सुरक्षित हैं लेकिन, क्या उन्हें लगता है कि वे यहां हैं ...	Fake
Celebrity	जेनरस्टोन इतिहास में दोस्तों की पुनर्मिलन	"जेनिफर एनिस्टन फ्रेंड्स प्रशंसकों को बहुत खुश कर रही है। अभिनेत्री ने संकेत दिया कि वह हिट एनबीसी शो के पुनर्मिलन में दिखाई देने के लिए खुली होगी। एनिस्टन ने एक ब्रिटिश टॉक शो में कहा, ""केवल एक चीज जो मैं सोच सकता हूं कि वह एक थैंक्सगिविंग एपिसोड करने के लिए मज़ेदार है।"" हालाँकि, अरनर ब्रदर्स के एक प्रवक्ता, स्टूडियो ने फ्रेंड्स का निर्माण किया, ने न्यूयॉर्क पोस्ट को बताया कि फ्रेंड्स रीयूनियन शो के बारे में कोई प्रारंभिक चर्चा नहीं हुई है।"	Fake
Celebrity	लिंडसे लोहान: व्लादिमीर पुतिन के बाद स्टारलेट लस्टिंग	"लीलो ने अचानक ""क्रेमलिन क्रॉच"" पर अपनी ज्वलंत आँखों का उद्देश्य बताया कि वह पलंग पर है और वह कुख्यात सोवियत मज़बूत व्लादिमीर पुतिन को बताती है - और फिर आधिकारिक तौर पर ""रूस की राजकुमारी पूटी-तांग"" का ताज पहनाया जाएगा।"	Fake
Celebrity	साइंटोलॉजी शोडाउन केटी होम्स जेना एल्फमैन ने अजेवर्ड 'जीएमए' रन-इन में पकड़ा	एक बार, गुड मॉर्निंग अमेरिका में नाटक में रॉबिन रॉबर्ट्स और उनके नए कट्टर-दासता, माइकल स्ट्रहान शामिल नहीं थे।	Fake
Celebrity	Kanye est चींटियों काइली की तरह सौंदर्य प्रसाधन व्यवसाय में प्रवेश करती हैं	कान्ये एस्ट अपनी प्रसिद्ध भाभी के साथ सिर-से-सिर जाना चाहते हैं ... काइली जेनर के प्रभुत्व वाले कॉस्मेटिक बिज़ में पहले डाइविंग हेड।	Fake
Celebrity	डांसिंग विद द स्टार्स 2017 कास्ट में चारो, बोनर बोल्टन, हीदर मोरिस मोर शामिल हैं	"सितारों के साथ नृत्य पर हो? आइए जानें 2017 के नए डांसिंग विद द स्टार्स 2017 के कलाकारों की घोषणा गुड मॉर्निंग अमेरिका पर की गई थी। सीज़न 24 के प्रतियोगियों ने सीज़न प्रीमियर में शुरुआत की, जिसमें डांसिंग ऑफ़ द स्टार्स के 400 वें एपिसोड को भी चिन्हित किया गया। यह शो एबीसी पर MONDAYS 8 | 7c प्रसारित करता है। इस सीज़न की लाइनअप में बोनर बोल्टन, मिस्टर टी, ओलंपियन्स सिमोन बाइल्स और नैन्सी केरिगन, हीथर मॉरिस और मूल ""कूची-कूची"" लड़की चारो का नाम शामिल है। सीज़न 24 प्रीमियर से अद्भुत शुरुआती संख्या का आनंद लेने के बाद नीचे दिए गए सितारों के साथ पूर्ण नृत्य देखें"	Legit
Celebrity	कर्स्टन डंस्ट बताते हैं कि वह कान 2017 के लाल कालीन पर क्यों रो रही थी	कर्स्टन डंस्ट को इस साल के कान्स फिल्म फेस्टिवल में रहस्यमय तरीके से रेड कार्पेट पर रोते हुए देखा गया था, और अब ऐसा लगता है कि हमारे पास अचानक हुए विस्फोट का स्पष्टीकरण है।	Legit
