Domain	Topic	News	Label
Sports	Wilfried Zaha trở lại với yêu sách 'thời gian' của Southgate đối với lựa chọn của Anh	Wilfried Zaha đã từ chối đề nghị của Gareth Southgate rằng ông đã áp đặt một khoảng thời gian để được tuyển chọn một lần nữa bởi đội tuyển quốc gia có hiệu quả để đòi tiền chuộc và đã bảo vệ quyền của mình thay vì đại diện cho quốc gia nơi sinh ra Bờ Biển Ngà. Tiền đạo Crystal Palace, người đã được đội tuyển Anh khoác áo trong trận giao hữu với Thụy Điển và Scotland trong nhiệm kỳ của Roy Hodgson khi người quản lý đã tức giận vì những bình luận của Southgate sau trận thắng vòng loại World Cup trước Litva vào Chủ nhật. Zaha đã đưa ra một tuyên bố thông qua người đại diện Will Salthouse của Quản lý thể thao độc đáo vào thứ ba và ngụ ý sự thất vọng rằng người quản lý thường trực được bổ nhiệm gần đây của Anh đã công khai chi tiết về một cuộc họp được tổ chức với cầu thủ chạy cánh vào tháng 12.	Legit
Sports	Brazil đủ điều kiện tham dự World Cup 2018 sau khi Coutinho và Neymar xuống Paraguay	Brazil đã trở thành đội đầu tiên đủ điều kiện tham dự World Cup 2018 duy trì thành tích đáng tự hào khi là đội bóng duy nhất hiện tại của giải đấu với một chút giúp đỡ từ miệng hôi của Lionel Messi và coi nhẹ Peru. Các nhà vô địch năm lần đánh bại Paraguay 3-0 vào thứ ba cho chiến thắng thứ tám liên tiếp của họ trong cuộc thi vòng loại Nam Mỹ. Điều đó tự nó đã không đủ để xác nhận sự tham gia của họ vào Nga nhưng chiến thắng 2-1 bất ngờ của Peru trước Uruguay trong một trận đấu sau đó đã đảm bảo cho Brazil một kết thúc top bốn.	Legit
Sports	John Wall bị chấn thương trong chuyến đi của Wizards tới Cleveland	"""Mặt trời vùng Đông Bắc Ohio vẫn bị che giấu trong khi các Phù thủy Washington ở trong thị trấn và nhiệt độ cần áo khoác ngoài nặng nề. Nhưng John Wall vẫn cảm thấy ổn. Ông nói rằng xương mệt mỏi của ông cảm thấy tươi mát. Tuy nhiên, điều này không kéo dài. Trong tuần lễ trôi qua, nhưng trong quý IV, người bảo vệ quan điểm Wall đã phải chịu một chấn thương cuối mùa giải với achilles của anh ấy. Chấn thương, Wall giải thích anh ấy ước mình không bao giờ nhảy lấy bóng và đây có thể là một con đường dài để hồi phục. """	Fake
Sports	Roger Federer đánh bại Roberto Bautista Agut khi Stan Wawrinka thua Alexander Zverev	Roger Federer đã tiễn Roberto Bautista Agut tại Miami Open để tiếp tục theo đuổi các danh hiệu Masters nhưng hạt giống hàng đầu Stan Wawrinka đã ra mắt Federer đã bắt đầu năm 2017 với một số hình thức tốt nhất và bất ngờ nhất trong sự nghiệp của anh ấy và sau khi giành được Master danh hiệu số 25 tại Indian Wells chỉ hơn một tuần trước, anh vẫn tiếp tục tham gia số 26 vào cuối tuần này khi đã cân bằng khởi đầu tốt nhất của mình cho một mùa giải (16-1) với chiến thắng 7-6 7-6. Người Thụy Sĩ không có mọi thứ theo cách riêng của mình chống lại Bautista Agut cần một vài lần hòa vốn để xem hạt giống số 14 của Tây Ban Nha chỉ trong chưa đầy hai giờ.	Legit
Sports	Đấu giá bóng rổ 'kinh thánh' lập kỷ lục thể thao	"13 quy tắc bóng rổ đầu tiên được bán vào thứ Sáu với giá hơn 4 triệu đồng đã lập kỷ lục về giá bán cao nhất cho các vật kỷ niệm thể thao theo Sothyouk đã thực hiện cuộc đấu giá. Nhà đấu giá đã ước tính rằng ""Quy tắc sáng lập bóng rổ"" hai trang của Tiến sĩ James Naismith sẽ mang lại ít hơn một nửa so với 4 338 500 mà David và Suzanne Booth trả giá cho tài liệu 119 năm tuổi này. ""Đây là giấy khai sinh. Nó bắt đầu từ đây cho biết Selby Kiffer, phó chủ tịch bộ phận bản thảo và sách của Na Trong nhà vào mùa đông. Naismith không biết phát minh của mình sẽ bắt kịp nhanh như vậy sau khi phong trào YMCA giới thiệu nó ở cấp độ quốc tế."	Legit
Sports	Cảnh sát không trung thực bị bắt giam	"Theo ""Luật Hillsborough"" mới, 12 cảnh sát Luân Đôn đã bị bỏ tù vì những gì nhiều nhà quan sát đã gọi là những mâu thuẫn nhỏ hoặc những sự trốn tránh tôn trọng trong lời khai của họ trong các cuộc điều tra. Luật mới yêu cầu tổng số kẹo từ tất cả các sĩ quan cảnh sát ở mọi cấp độ, và 8 cảnh sát bị bỏ tù đã bị kết án hai năm tù vì đưa ra những gì luật sư của họ thuật ngữ ""tử tế và khéo léo"" trong phiên tòa mở, thay vì sự minh bạch hoàn toàn các quy định hiện nay yêu cầu. Nghị sĩ Lao động Andy Burnham bình luận: ""Khi bạn là thành viên của một trong những gia đình đau buồn này, đôi khi bạn không thể xử lý sự thật."""	Fake
Sports	State of Sport: Bộ trưởng thể thao doping 'nghiệp dư'	"Phạm vi doping trong thể thao nghiệp dư - được tiết lộ bởi một cuộc thăm dò cho BBC - là một ""mối quan tâm"", bộ trưởng thể thao Tracey Crouch nói. Một cuộc điều tra của BBC State of Sport đã tìm thấy hơn một phần ba (35%) người thể thao nghiệp dư nói rằng cá nhân họ biết ai đó đã pha tạp. Một nửa cho biết việc sử dụng chất tăng cường hiệu suất là ""phổ biến"" trong số những người chơi thể thao cạnh tranh. Crouch nói doping là ""hoàn toàn không thể chấp nhận được trong bất kỳ cấp độ thể thao nào"". Cô nói thêm: ""Tôi nghĩ vẫn còn nhiều hơn nữa các cơ quan quản lý thể thao có thể làm trên mặt trận này hoạt động cùng với Anti-Doping của Vương quốc Anh để giúp thúc đẩy thể thao sạch sẽ."" Cuộc điều tra về doping trong thể thao nghiệp dư ở Anh cũng cho thấy 8% người chơi thể thao nghiệp dư cho biết họ đã sử dụng steroid trong khi 49% cho rằng thuốc tăng cường hiệu suất (PED) là ""dễ dàng có sẵn"" trong số những người chơi thể thao thường xuyên."	Legit
Sports	"Công thức một đang bước vào kỷ nguyên mới thú vị vào Chủ nhật tuần này ""Khi Bernadete Eccl Thạch sẽ tổ chức cuộc đua khai mạc của mùa đua Công thức 1 2017 lần đầu tiên tại Melbourne Australia vào Chủ nhật."" Malory C. Johnson, chủ tịch của công ty Patriots Media Corporation có trụ sở tại Colorado, đã mua 60,3% cổ phần đáng kinh ngạc của Formula One và muốn đảm bảo với người tiêu dùng rằng ""Berny"" yêu quý của họ sẽ tiếp tục tổ chức. Mặc dù Eccl Thạch chưa bao giờ được ghi nhận về kiến thức của cô về những chiếc xe hoặc các quy tắc, nhưng người hâm mộ đã ngưỡng mộ sự điềm tĩnh vui vẻ của cô trong nhiều năm. Với Patriots Media Co, một đài chủ yếu chính thức, nhiều người hâm mộ đã tự hỏi làm thế nào hai thái độ khác nhau sẽ làm việc với nhau. Carey Smith hiện là trưởng phòng quản lý tại Formula One và cho biết vị trí của cô không thể phát huy hết tiềm năng. Cô có kế hoạch tăng kích thước cảnh tượng cho các chủng tộc, ""mỗi cuộc đua nên giống như 16 giải bóng đá với một tuần là một sự kiện, tham gia và vui vẻ kết hợp toàn bộ cộng đồng và hơn thế nữa."""	"Cuộc đối đầu với Trump ""Cơ quan không khí sạch của California đã bỏ phiếu vào thứ Sáu để đánh giá lại các tiêu chuẩn khí thải nghiêm ngặt hơn đối với ô tô và xe tải. Cuộc bầu chọn của Ủy ban Tài nguyên Hàng không California là dấu hiệu táo bạo nhất về chính sách môi trường của California. Nhà nước từ thống đốc cho đến nhiều thị trưởng đã hứa sẽ nói chuyện với người dân. Ông Trump ủng hộ ngành công nghiệp vì lo ngại môi trường nói rằng việc nới lỏng các quy tắc phát thải sẽ giúp kích thích sản xuất ô tô. Ông tuyên bố tuần trước sẽ nới lỏng các quy định. năm hỗ trợ các tiêu chuẩn chặt chẽ hơn. """	Fake
Sports	Cựu tay đua IndyCar và Nreb David Steele thiệt mạng trong cuộc đua ở Florida	"Cựu chiến binh xe hơi Sprint David Steele đã chết trong một cuộc đua ở Florida. Các quan chức của Desoto Speedway cho biết trong một bài đăng trên Facebook vào tối thứ Bảy rằng chủ sở hữu và nhân viên theo dõi đã rất buồn vì vụ tai nạn. Tuyên bố nói rằng Steele đã cố gắng giành chiến thắng trong cuộc đua thứ 100 của mình ở Florida. ""Chủ sở hữu và nhân viên của Desoto Speedway rất buồn trước sự ra đi của David Steele trong chiếc xe Sprint tối nay có bài đăng. Những suy nghĩ và lời cầu nguyện đi ra với gia đình và bạn bè của anh ấy, những người tham dự để thấy anh ấy cố gắng giành chiến thắng tại cuộc đua Florida thứ 100 của anh ấy."" Một báo cáo của Văn phòng Cảnh sát trưởng Hạt Manatee cho biết Steele đang lái một chiếc xe chạy nước rút khi bánh trước bên trái của chiếc xe của anh đâm vào bánh sau bên phải của một chiếc xe khác khiến xe của Steele bay lên không trung 180 độ và đâm vào tường chắn. Medics đã cố gắng điều trị cho anh ta nhưng anh ta đã chết. Ông đã 42 tuổi."	Legit
Sports	Lewis Hamilton cho biết ông sẽ ngồi ngoài cuộc đua danh hiệu thế giới	"Lewis Hamilton, tay đua xe đến từ Anh, cho biết anh sẽ ngồi ngoài cuộc đua danh hiệu thế giới năm nay. Trong cuộc đua gần đây nhất của Hamilton, anh về nhì tại giải Grand Prix Úc trước Sebastian Vettel của Đức. Hamilton nói: ""Sau thất bại tại Grand Prix Úc, tôi thực sự cần một chút thời gian để phục hồi tinh thần trước khi quay trở lại trò chơi. Có lẽ một hoặc hai năm nữa tôi sẽ trở lại với đội của mình sau khi chúng tôi đưa ra kế hoạch tiến triển"". Hamilton đã thua cuộc đua cuối cùng của mình do một tốc độ vượt trội của Sebastian Vettel và một điểm dừng chân sớm của Max Verstappen của Red Bull. ""Những thay đổi quy tắc lớn sắp ra mắt. Một khi chúng ta thấy những quy tắc mới là điều chỉnh kế hoạch cuộc đua của chúng ta, chúng ta hy vọng sẽ trở lại cuộc đua một lần nữa"", Hamilton nói. Trong khi đó, có vẻ như ca khúc sẽ nhớ Lewis Hamilton."	Fake
Sports	Maria Sharapova tuyên bố cô 'chiến đấu vì sự thật' khi lệnh cấm doping quần vợt trở lại gần	"Maria Sharapova cho biết cô cảm thấy được chứng thực bằng cách giảm đình chỉ doping của mình thêm rằng cô ""chiến đấu hết mình vì sự thật"" khi cô chuẩn bị trở lại quần vợt sau lệnh cấm 15 tháng. Thế giới cũ số 1 của Nga ban đầu bị cấm trong hai năm sau khi thử nghiệm dương tính tại Australian Open 2016 cho meldonium một loại thuốc mà cô đã dùng trong 10 năm theo quy định nhưng được phân loại lại thành một loại thuốc bị cấm. Cô ấy sẽ trở lại tại Porsche Grand Prix vào tháng Tư nhờ vào một ký tự đại diện và nói rằng cô ấy cảm thấy mình đã lấy lại được ""công việc ban ngày""."	Legit
