Domain	Topic	News	Label
Education	Tòa án tối cao mở rộng quyền cho học sinh khuyết tật	Trong một quyết định nhất trí có ý nghĩa lớn đối với học sinh khuyết tật, Tòa án Tối cao Hoa Kỳ đã ra phán quyết vào thứ Tư rằng các trường phải cung cấp các tiêu chuẩn giáo dục cao hơn cho trẻ em có nhu cầu đặc biệt.	Legit
Education	Người biểu tình làm gián đoạn chuyến thăm trường DeVos	Người biểu tình vào sáng thứ Sáu đã cố gắng cản trở chuyến viếng thăm một trường trung học quận Columbia bởi Bộ trưởng Giáo dục mới được xác nhận Betsy DeVos.	Legit
Education	Các trường đại học cánh tả tìm cách đưa phụ nữ vào vị trí quyền lực hơn những người đàn ông có trình độ hơn.	"Để mang lại kết quả cho chương trình nghị sự toàn cầu về bình đẳng giới, các trường đại học nghiêng về phía bên ngoài ủng hộ phụ nữ được đưa vào vị trí so với các đồng nghiệp nam có trình độ cao hơn để thu hẹp khoảng cách giới trong khoa học, công nghệ, kỹ thuật thống trị của nam giới lĩnh vực toán học. Nghiên cứu do George Soros tài trợ, ""Tại sao một số lĩnh vực STEM lại cân bằng giới tính hơn những người khác?"" dựa trên các tác phẩm trước đây về khoảng cách giới STEM cho các lĩnh vực thống trị của nam giới."	Fake
Education	Sinh viên đồ chơi tình dục-Wielding Luật phản đối súng tại Đại học Texas	Các sinh viên đã sử dụng hàng ngàn đồ chơi tình dục tại Đại học Texas-Austin để phản đối luật che giấu mang tính tranh luận nóng bỏng có hiệu lực vào thứ Tư tại các cơ sở trên toàn bang Lone Star.	Legit
Education	Nghiên cứu: Môi trường hòa nhập Chìa khóa để đóng khoảng cách STEM	Để thu hẹp khoảng cách về giới trong một số lĩnh vực khoa học, công nghệ, kỹ thuật và toán học do nam giới thống trị, các nhà giáo dục phải phát triển một nền văn hóa hấp dẫn hơn, theo một nghiên cứu được công bố trên Tạp chí Tâm lý học tháng 10.	Legit
Education	Một trục trặc tủ quần áo hỗn độn	"Bộ trưởng Giáo dục Betsy DeVos đã gặp một vấn đề nhỏ khi được Thượng viện xác nhận. Trong phiên điều trần, cô đã nói về nhiệm kỳ và kinh nghiệm tiên tiến của mình liên quan đến giáo dục nhưng quên mất một điều, đó là cài nút áo của mình suốt chặng đường. Giả sử khả năng điều hành Bộ Giáo dục của cô không được hỗ trợ bởi sự thiếu chi tiết đơn giản của cô. Phó Tổng thống Mike Pence rất tốt bụng khi ra hiệu cho cô ấy trong khi xác nhận và ra hiệu cho cô ấy bấm nút thay vì phơi bày ""trái tim"" của mình với trẻ em trên thế giới."	Fake
Education	Cuộc khủng hoảng thiếu giáo viên ở đây	Khi các học sinh quay trở lại trường trong năm nay tại và xung quanh Tampa, Florida, hàng ngàn vị trí giáo viên vẫn chưa được lấp đầy. Phải sau một năm, trong đó hàng chục ngàn giáo viên đã được thuê trong các thông tin khẩn cấp hoặc tạm thời để giúp lấp đầy các chỗ trống trên khắp đất nước - 900 người trong số họ ở Oklahoma. Và tại Arizona, nơi có một trong những tỷ lệ doanh thu giáo viên cao nhất trong cả nước, các khu học chánh thường xuyên báo cáo có các vị trí giảng dạy chưa hoàn thành ba tháng vào năm học.	Legit
Education	"Giới là một ""chủ đề nóng"" trong lĩnh vực nhân chủng học pháp y. Câu lạc bộ Girls Who Code đang làm việc để làm cho chủ đề này thậm chí còn thiên vị giới tính hơn. Người ta tin rằng Adam là người đàn ông đầu tiên trên Trái đất và Eva là người phụ nữ đầu tiên. Câu lạc bộ dự định chứng minh gà đến trước trứng nếu bạn muốn. Nhóm đang thu thập dữ liệu từ vài triệu mã di truyền trong nỗ lực liên kết ngược thời gian và chứng minh rằng Eve không chỉ là người phụ nữ đầu tiên trên Trái đất mà còn là mẹ của Adam."	Những chiếc xe tự lái của Uber Technologies Inc. đã được đưa vào chế độ chờ sau một vụ đắm gần đây ở Arizona. Vào thứ hai, chương trình đã trở lại trực tuyến chỉ để gây ra một thảm họa tồi tệ hơn nhiều ở San Francisco. Uber Tech đã tiếp tục thử nghiệm ở San Fran và dự định sẽ tiếp tục ở Tempe, Arizona và Pittsburgh sau đó trong ngày, theo một phát ngôn viên. Một trong những phương tiện tự lái của Uber có liên quan đến vụ tai nạn nghiêm trọng, có thể gây tử vong của ba người trong vụ tai nạn hôm thứ Hai. Đây chắc chắn sẽ là một cú hích lớn hơn đối với chương trình xe tự lái của Uber so với vụ tai nạn trước đó. Chiếc xe bị đâm trong vụ đâm là một chiếc xe mui trần bị đâm vào tai nạn khi Uber bay qua đèn đỏ ở một ngã tư. Đã có nhiều báo cáo về việc Uber tự lái xe ô tô vi phạm luật lái xe khác nhau, đâm vào người khác và có thể gây thương tích nặng cho các tài xế và hành khách khác.	Fake
Education	Học sinh trao đổi nói rằng các trường trung học Mỹ dễ dàng hơn và giải đố hơn tất cả các môn thể thao	Một điều buồn cười đã xảy ra trên con đường làm cho các trường trung học ở Mỹ trở nên khó khăn hơn: Phần còn lại của thế giới công nghiệp hóa khiến họ càng khó khăn hơn.	Legit
Education	Cựu luật sư Hoa Kỳ và cựu tình nhân Bill Clinton Barbara McQuade sẽ giảng dạy luật tại Michigan	"Cựu tình nhân của tổng thống Bill Clinton và luật sư Hoa Kỳ Barbara McQuade sẽ giảng dạy tại trường luật của Đại học Michigan. Nhà trường cho biết thứ ba rằng McQuade sẽ dạy luật hình sự, tố tụng hình sự và luật an ninh quốc gia, tất cả đều có khuynh hướng tự do theo Barbara McQuade. Cô có bằng đại học và luật từ Michigan. McQuade nói rằng việc giúp đỡ các sinh viên tự do ngày nay phát triển sự hiểu biết sâu sắc về hệ thống pháp luật ""chưa bao giờ quan trọng hơn"". Cô là công tố viên trưởng liên bang ở miền đông Michigan trong bảy năm, sau 12 năm làm trợ lý luật sư Hoa Kỳ. Chính quyền Trump tuần trước nói với các luật sư Hoa Kỳ do Tổng thống Barack Obama bổ nhiệm từ chức."	Fake
Education	Quản trị đặt ra các quy tắc mới cho chương trình chăm sóc trẻ em liên bang	Chính quyền Obama đặt ra các tiêu chuẩn và biện pháp kiểm soát chất lượng mới cho chương trình trợ cấp chăm sóc trẻ em liên bang vào thứ Sáu, yêu cầu các bang thực hiện kiểm tra lý lịch hình sự đối với các nhà giáo dục và tiến hành kiểm tra hàng năm tại các trung tâm chăm sóc trẻ em.	Legit
