Domain	Topic	News	Label
Sports	इंग्लैंड के चयन पर साउथगेट के 'टाइमस्केल' के दावे पर विलफ्रेड ज़ाहा ने वापसी की	विलफ्रेड ज़ाहा ने गैरेथ साउथगेट के उस सुझाव को खारिज कर दिया है जिसमें उन्होंने इंग्लैंड द्वारा फिर से चुने जाने के लिए एक बार फिर से चुने जाने के लिए राष्ट्रीय टीम को प्रभावी ढंग से फिरौती देने के लिए एक समयसीमा लागू की थी और अपने जन्म के आइवरी कोस्ट के देश का प्रतिनिधित्व करने के बजाय अपने अधिकार का बचाव किया था। आगे क्रिस्टल पैलेस, जिसे रॉय होडसन के कार्यकाल के दौरान स्वीडन और स्कॉटलैंड के खिलाफ मैत्री में इंग्लैंड द्वारा कैप किया गया था, रविवार को लिथुआनिया के खिलाफ विश्व कप क्वालीफाइंग जीत के बाद साउथगेट की टिप्पणियों के कारण प्रबंधक को बदनाम किया गया था। ज़हा ने अपने प्रतिनिधि विल स्पोर्ट्सहाउस ऑफ़ यूनिक स्पोर्ट्स मैनेजमेंट के माध्यम से मंगलवार को एक बयान जारी किया और निराशा जताई कि इंग्लैंड के हाल ही में नियुक्त स्थायी प्रबंधक ने दिसंबर में विंगर के साथ हुई बैठक का सार्वजनिक ब्योरा दिया था।	Legit
Sports	Coutinho और नेमार के बाद पराग्वे के बाद ब्राजील 2018 विश्व कप के लिए क्वालीफाई करता है	ब्राजील 2018 विश्व कप के लिए क्वालिफाई करने वाली पहली टीम बन गई है जिसने लियोनेल मेस्सी के मुंह से हल्की और पेरू के हल्के से मदद के साथ टूर्नामेंट के एकमात्र मौजूदा पक्ष के रूप में अपना गौरवपूर्ण रिकॉर्ड बनाए रखा है। पांच बार के चैंपियन ने मंगलवार को दक्षिण अमेरिकी क्वालीफाइंग प्रतियोगिता में लगातार आठवीं जीत के लिए पैराग्वे को 3-0 से हराया। यह अपने आप में रूस में उनकी भागीदारी की पुष्टि करने के लिए पर्याप्त नहीं था, लेकिन पेरू के बाद के खेल में उरुग्वे पर 2-1 से जीत ने ब्राजील को शीर्ष चार में जगह दी।	Legit
Sports	जॉन वॉल ने क्लीवलैंड की विजार्ड की यात्रा में चोट की	"""वॉशिंगटन विजार्ड्स के शहर में रहने के दौरान नॉर्थईस्ट ओहियो का सूरज छिपा हुआ था और तापमान के लिए भारी बाहरी कपड़ों की आवश्यकता थी। लेकिन जॉन अभी भी ठीक महसूस कर रहे थे। उन्होंने कहा कि उनके थके हुए हड्डियों को ताजा महसूस किया। हालांकि, यह लंबे समय तक नहीं था। पहले से माइग्रेन का सिरदर्द था। सप्ताह में चला गया, लेकिन चौथी तिमाही में, प्वाइंट गार्ड वाल ने सीज़न के अंत में अपनी अचलों को चोट पहुंचाई। इन खराब वाइब से कैवलियर्स को नुकसान हुआ - स्कोर 127-115, क्लीवलैंड कैवियर्स को नुकसान। चोट, वाल ने बताया कि वह कैसे चाहते हैं कि वह गेंद के लिए कभी नहीं कूदें और यह रिकवरी के लिए एक लंबी सड़क हो। ”"	Fake
Sports	रोजर फेडरर ने रॉबर्टो बॉतिस्ता अगुत को हरा दिया जैसा कि स्टेन वावरिंका अलेक्जेंडर ज्वेरेव से हार जाता है	रोजर फेडरर ने मियामी ओपन में रॉबर्टो बॉतिस्ता अगुत को बैक-टू-बैक मास्टर्स खिताब के लिए पाठ्यक्रम पर बने रहने के लिए देखा, लेकिन शीर्ष वरीयता प्राप्त स्टेन वावरिंका फेडरर ने अपने करियर के सर्वश्रेष्ठ और अप्रत्याशित रूप से कुछ के साथ 2017 की शुरुआत की है और मास्टर्स का दावा किया है टाइटल नंबर 25 इंडियन वेल्स में एक सप्ताह पहले ही वह 26 वें नंबर पर इस सप्ताह के अंत तक बने हुए हैं, जिसमें उनकी सर्वश्रेष्ठ शुरुआत एक सीजन (16-1) से 7-6 7-6 जीत के साथ हुई। स्विस ने 14 घंटे में स्पैनिश 14 वें सीड को देखने के लिए टाई-ब्रेक के एक जोड़े की जरूरत के लिए बतिस्ता अगुत के खिलाफ अपना सब कुछ नहीं किया।	Legit
Sports	बास्केटबॉल 'बाईबल' की नीलामी से खेल यादगार रिकॉर्ड बनते हैं	"बास्केटबॉल के पहले 13 नियमों ने शुक्रवार को 4 मिलियन से अधिक के लिए बेच दिया, जो सोथबी की नीलामी आयोजित करने के अनुसार खेल यादगार के लिए उच्चतम बिक्री मूल्य के लिए एक रिकॉर्ड स्थापित किया। नीलामी घर ने अनुमान लगाया था कि डॉ। जेम्स नाइस्मिथ के दो-पृष्ठ ""फ़ाउंडिंग रूल्स ऑफ़ बास्केटबॉल"" 119 वर्षीय दस्तावेज के लिए डेविड और सुज़ैन बूथ बोली के आधे से कम 4 338 500 लाएगा। ""यह जन्म प्रमाण पत्र है। यह यहां शुरू हुआ, पांडुलिपियों और पुस्तकों के विभाग के लिए सोथबी के उपाध्यक्ष सेलबी किफ़र ने कहा। न्यू इंग्लैंड YMCA में काम करने वाले एक कनाडाई शारीरिक शिक्षा प्रशिक्षक नाइस्मिथ ने बास्केट बॉल का खेल बनाया, ताकि छात्र एक खेल खेल सकें। सर्दियों में घर के अंदर। Yisma आंदोलन के अंतराष्ट्रीय स्तर पर पेश होने के बाद Naismith को इस बात का अंदाजा नहीं था कि उनका आविष्कार इतनी तेज़ी से होगा।"	Legit
Sports	बेईमान पुलिस अधिकारी कैद	"नए ""हिल्सबोरो कानून"" के तहत, लंदन के 12 पुलिसकर्मियों को पहले ही जेल जा चुका है कि कितने पर्यवेक्षकों ने पूछताछ में अपनी गवाही में मामूली असंगतता या सम्मानजनक उलाहना दिया है। नए कानून के लिए हर स्तर पर सभी पुलिस अधिकारियों से कुल कैंडर की आवश्यकता होती है, और जेल में बंद पुलिसकर्मियों में से 8 को दो साल की सजा सुनाई गई है, जो कि उनके वकील खुले कोर्ट में ""दयालु और चतुराईपूर्ण"" विवरण देते हैं, बजाय पूरी पारदर्शिता के। अब नियमों की आवश्यकता है। लेबर सांसद एंडी बर्नहैम ने टिप्पणी की, ""जब आप इन दुःखी परिवारों में से एक के सदस्य हैं, तो कभी-कभी आप सच्चाई को संभाल नहीं सकते हैं।"""	Fake
Sports	खेल राज्य: शौकिया डोपिंग निष्कर्ष 'चिंता' खेल मंत्री	"शौकिया खेल में डोपिंग की हद - बीबीसी के लिए एक सर्वेक्षण से पता चला है - एक ""चिंता का विषय"" खेल मंत्री ट्रेसी क्राउच का कहना है। एक बीबीसी स्टेट ऑफ स्पोर्ट की जांच में पाया गया कि एक तिहाई (35%) शौकिया खेल के लोग कहते हैं कि वे व्यक्तिगत रूप से किसी ऐसे व्यक्ति को जानते हैं जिसने डोप किया है। हाफ ने कहा कि प्रतिस्पर्धी खेल बढ़ाने वाले पदार्थ का उपयोग ""व्यापक"" है जो प्रतिस्पर्धी खेल खेलते हैं। क्राउच ने कहा कि डोपिंग ""खेल के किसी भी स्तर में बिल्कुल अस्वीकार्य"" था। उन्होंने कहा: ""मुझे लगता है कि अभी भी कुछ और खेल हैं जो खेल के संचालन निकायों को ब्रिटेन के डोपिंग विरोधी के साथ मिलकर काम कर सकते हैं ताकि स्वच्छ खेल को बढ़ावा दिया जा सके।"" यूके के शौकिया खेल में डोपिंग की जांच में 8% शौकिया खेल के लोगों ने कहा कि उन्होंने स्टेरॉयड लिया था, जबकि 49% ने सोचा कि प्रदर्शन बढ़ाने वाली दवाएं (PEDs) नियमित रूप से खेल खेलने वाले लोगों में ""आसानी से उपलब्ध"" हैं।"	Legit
Sports	"फॉर्मूला वन इस रविवार को एक रोमांचक नए युग में प्रवेश कर रहा है ""जब बर्नडेट एक्लेस्टोन रविवार को मेलबर्न ऑस्ट्रेलिया में पहली बार फॉर्मूला वन 2017 रेसिंग सीजन की उद्घाटन दौड़ की मेजबानी करेंगे।"" कोलोराडो स्थित कंपनी पैट्रियट्स मीडिया कॉरपोरेशन के अध्यक्ष मालरी सी। जॉनसन ने फॉर्मूला वन की अविश्वसनीय 60.3 प्रतिशत हिस्सेदारी खरीदी है और वह कॉस्ट्यूमर्स को आश्वस्त करना चाहते हैं कि उनके प्रिय ""बर्नी"" होस्ट करना जारी रखेंगे। हालाँकि, Ecclestones को कारों या नियमों के बारे में जानकारी के लिए कभी भी नोट नहीं किया गया है, प्रशंसकों ने वर्षों तक उसके हंसमुख व्यवहार को स्वीकार किया है। देशभक्त मीडिया सह के साथ, एक मुख्य रूप से औपचारिक स्टेशन, कई प्रशंसकों को आश्चर्य होता है कि दो अलग-अलग दृष्टिकोण एक साथ कैसे काम करेंगे। कैरी स्मिथ अब फॉर्मूला वन में प्रबंधन के प्रमुख हैं और कहते हैं कि उनकी स्थिति अपनी पूरी क्षमता तक पहुंचने से दूर है। वह यह कहते हुए दौड़ के लिए तमाशा आकार बढ़ाने की योजना बना रही है, ""प्रत्येक दौड़ 16 फुटबॉल टूर्नामेंट के समान होनी चाहिए, जिसमें एक सप्ताह में एक घटना, प्रवेश, और मजेदार हो जो पूरे समुदाय और उससे परे को एकजुट करता है।"""	"ट्रम्प के साथ फेस-ऑफ की स्थापना ""कैलिफोर्निया की स्वच्छ-वायु एजेंसी ने शुक्रवार को कारों और ट्रकों के लिए उनके सख्त उत्सर्जन मानकों का पुनर्मूल्यांकन करने के लिए मतदान किया। कैलिफोर्निया एयर रिसोर्स बोर्ड द्वारा किया गया वोट कैलिफोर्निया की पर्यावरण नीति में अभी तक के सबसे निर्भीक संकेत है। राज्यपाल से नीचे कई महापौरों ने राज्य के लोगों के लिए बोलने का वादा किया है। पर्यावरण संबंधी चिंताओं पर श्री ट्रम्प ने कहा कि उत्सर्जन नियमों में ढील से ऑटो विनिर्माण को बढ़ावा देने में मदद मिलेगी। उन्होंने पिछले सप्ताह नियमों को ढीला करने की कसम खाई थी। कड़े मानकों के समर्थन के वर्ष। ”"	Fake
Sports	फ्लोरिडा रेस के दौरान पूर्व इंडीकार और नस्कर चालक डेविड स्टील की मौत हो गई	"स्प्रिंट कार के दिग्गज डेविड स्टील की फ्लोरिडा में दौड़ के दौरान मौत हो गई है। डेसोटो स्पीडवे के अधिकारियों ने शनिवार रात एक फेसबुक पोस्ट में कहा कि दुर्घटना से ट्रैक मालिक और कर्मचारी दुखी हो गए। बयान में कहा गया है कि स्टील फ्लोरिडा में अपनी 100 वीं दौड़ जीतने की कोशिश कर रहा था। ""डेसोटो स्पीडवे के मालिक और कर्मचारी आज रात को स्प्रिंट कार में पोस्ट पढ़ने के बाद डेविड स्टील के पास जाने से दुखी हैं। हालांकि, उनके परिवार और दोस्तों के लिए प्रार्थनाएं और प्रार्थनाएं बाहर जाती हैं, जो उन्हें 100 वीं फ्लोरिडा रेस जीतने की कोशिश में देख रहे थे।"" मानेटी काउंटी शेरिफ के कार्यालय की रिपोर्ट में कहा गया है कि स्टील एक स्प्रिंट कार चला रहा था जब उसके वाहन का बायाँ अगला पहिया दूसरी कार के दाहिने पिछले पहिये से टकरा गया, जिससे स्टील का वाहन 180 डिग्री तक हवा में घूम गया और रिटेनिंग दीवार से जा टकराया। मेडिक्स ने उसका इलाज करने का प्रयास किया लेकिन उसे मृत घोषित कर दिया गया। वह 42 के थे।"	Legit
Sports	लुईस हैमिल्टन का कहना है कि वह विश्व खिताब की दौड़ से बाहर हो जाएंगे	"ब्रिटेन के रेस कार चालक लुईस हैमिल्टन का कहना है कि वह इस साल विश्व खिताब की दौड़ से बाहर हो जाएंगे। हैमिल्टन की सबसे हालिया दौड़ में, वह ऑस्ट्रेलियाई ग्रां प्री में जर्मनी के सेबेस्टियन वेटल के बाद दूसरे स्थान पर आया। हैमिल्टन ने कहा: ""ऑस्ट्रेलियाई ग्रैंड प्रिक्स में हार के बाद, मुझे खेल में वापस आने से पहले वास्तव में कुछ मानसिक सुधार के लिए कुछ समय चाहिए। शायद एक या दो साल में मैं अपनी टीम के साथ वापसी करूंगा, जब हम एक योजना के साथ आएंगे। आगे बढ़ो""। हैमिल्टन ने सेबस्टियन वेट्टेल की एक बेहतर गति और रेड बुल के मैक्स वेरप्पेन द्वारा एक शुरुआती पिट स्टॉप के कारण अपनी आखिरी दौड़ खो दी। हैमिल्टन ने कहा, ""जल्द ही बड़े नियम बदलाव आ रहे हैं। एक बार जब हम देखते हैं कि नए नियम हमारी दौड़ योजना के अनुकूल हैं, तो हम उम्मीद करते हैं कि हम फिर से रेसिंग करेंगे।"" इस बीच ऐसा लग रहा है कि ट्रैक लुइस हैमिल्टन को याद करेगा।"	Fake
