Domain	Topic	News	Label
Celebrity		Có phải đĩa đơn mới của Drake có nghĩa là anh ấy đã hoàn thành album gần đây nhất của anh ấy?	Legit
Celebrity	Angelina Jolie Amal Alamuddin: Đó là ar	hen George và Amal Clooney đã tổ chức lễ cưới lần thứ hai vào ngày 25 tháng 10, một lần nữa hai vị khách rất đáng chú ý bị mất tích - Brad Pitt và Angelina Jolie không thấy đâu	Fake
Celebrity	Một điều cho Blondes? Brad Pitt đã sẵn sàng để tiếp tục với Margot Robbie	Brad Pitt có trở lại với cô gái tóc vàng không? Ngay sau khi chia tay với Angelina Jolie, những tin đồn đã xoay quanh việc hóa học tại chỗ của Pitt với nữ diễn viên Đồng minh Marion Cotillard. Liên kết với nhiều bạn diễn trong suốt sự nghiệp lâu dài của anh ấy, bao gồm cả người sắp trở thành người yêu cũ của anh ấy, không có gì lạ khi Jolie không muốn anh ấy làm việc với vỏ bom tóc vàng, Margot Robbie. Một nguồn độc quyền cho các báo cáo của OK, ngay bây giờ, anh ấy nghĩ rằng cô ấy là cô gái nóng bỏng nhất Hollywood. Theo nguồn tin này, nam diễn viên 41 tuổi và Chủ tịch của Kế hoạch B Films đã cố gắng tán tỉnh cô cho nhiều dự án phim. Đây là một chủ đề nhức nhối với Angie, người đã chặn họ làm việc cùng nhau một vài lần. Bây giờ anh ấy độc thân một lần nữa, bạn có thể mong đợi Brad sẽ theo đuổi Margot với một niềm đam mê. Và ai có thể trách anh ta? Người đẹp Úc 26 tuổi đã được mệnh danh là Angelina Jolie mới, người hâm mộ khuấy động nỗi sợ hãi trong lòng những người vợ nổi tiếng. Cô có danh tiếng riêng về hóa học tại chỗ với các diễn viên đã kết hôn trong đó có Smith. Đó là những cảnh sex nóng bỏng và nặng nề và những bức ảnh xuất hiện trong số họ trông thật ấm cúng từ máy ảnh, chính Smith đã phải giải quyết những tin đồn trên twitter.	Fake
Celebrity	Tom Hiddleston Choáng váng Taylor Swift đã giới thiệu anh ấy trên Album mới: Đây là hy	Hile hầu hết những người đang hoặc đang ở trong cuộc sống của Taylor Swift rất có thể biết họ sẽ được gọi ra khỏi album của cô ấy, Tom Hiddleston nghĩ rằng anh ấy an toàn Nhưng, được nhắc đến anh ấy trong TO track Đây là những gì anh ấy nghĩ	Fake
Celebrity	JENNIFER ANISTON HINTS TẠI FRUNENDS REUNION	"Jennifer Aniston đang khiến người hâm mộ Friends rất vui mừng Nữ diễn viên gợi ý cô sẽ sẵn sàng xuất hiện trong một cuộc hội ngộ của chương trình NBC đình đám. ""Điều duy nhất tôi có thể nghĩ làm có lẽ là để vui khi thực hiện một chương trình Lễ Tạ ơn,"" Aniston nói trên một chương trình trò chuyện của Anh. Tuy nhiên, một phát ngôn viên của arner Bros., studio sản xuất Friends, nói với tờ New York Post rằng không có cuộc thảo luận sơ bộ nào về chương trình hội ngộ Friends."	Fake
Celebrity	Lindsay Lohan: Starlet Lusting sau Vladimir Putin	"LiLo bất ngờ nhắm vào đôi mắt rực lửa của mình vào ""Kremlin Krotch"", nói với bạn bè rằng cô sẽ lên giường và cưới người đàn ông khét tiếng Xô Viết Vladimir Putin - và sau đó được chính thức trao vương miện ""Công chúa Pootie-Tang của Nga"""	Fake
Celebrity	Cuộc tranh luận về khoa học Katie Holmes Jenna Elfman bị bắt trong vụ lúng túng 'GMA'	Lần đầu tiên, bộ phim tại Good Morning America không liên quan đến Robin Roberts và kẻ thù mới của cô, Michael Strahan.	Fake
Celebrity	Kiến Kanye est tham gia kinh doanh mỹ phẩm như Kylie	Kanye est muốn đối đầu với chị dâu nổi tiếng của mình ... lặn đầu tiên vào công ty mỹ phẩm do Kylie Jenner thống trị.	Fake
Celebrity	Khiêu vũ với dàn sao 2017 Bao gồm Charo, Bonner Bolton, Heather Morris More	"Bạn đang khiêu vũ với những vì sao? Hãy cùng tìm hiểu Dàn diễn viên Dancing with the Stars 2017 mới được công bố trên Good Morning America Các thí sinh mùa 24 đã ra mắt trên Season Premiere, cũng đánh dấu tập thứ 400 của Dancing with the Stars. Chương trình phát sóng NGÀY 8 | 7c trên ABC. Đội hình của mùa giải này bao gồm Bonner Bolton, Mr. T, Olympians Simone Biles và Nancy Kerrigan, Heather Morris và cô gái ""Cuchi-Cuchi"" ban đầu, Charo, chỉ kể tên một vài người. Kiểm tra toàn bộ dàn diễn viên Dancing with the Stars dưới đây sau khi bạn tận hưởng số mở màn tuyệt vời từ buổi ra mắt phần 24"	Legit
Celebrity	Kirsten Dunst giải thích lý do cô khóc trên thảm đỏ Cannes 2017	Kirsten Dunst bị phát hiện khóc một cách bí ẩn trên thảm đỏ tại Liên hoan phim Cannes năm nay, và bây giờ có vẻ như chúng ta có một lời giải thích cho sự bùng nổ bất ngờ.	Legit
Celebrity	Bên trong phòng tắm em bé của Beyoncé	Đừng hành động như bạn không biết Beyoncé sẽ tắt nó khi đi tắm em bé.	Legit
Celebrity	Hoàng tử - Sự thật đằng sau việc dùng thuốc quá liều	"Như ENQUIRER đã báo cáo, Prince đã được chẩn đoán nhiễm HIV, loại virus gây ra bệnh AIDS, vào những năm 1990. Sự khôn ngoan của Đức Giê-hô-va đã chọn không chiến đấu với căn bệnh chết người bằng thuốc do đức tin của anh ta, tin rằng ""Chúa sẽ cứu tôi"" Sáu tháng trước, anh ta được các bác sĩ nói rằng anh ta bị AIDS toàn thân và chỉ còn sáu tháng để sống, các nguồn tin cho biết. ""Anh ấy không thể chịu đựng nỗi đau mà căn bệnh đã gây ra cho anh ấy ở giai đoạn cuối"", một người trong cuộc nói với ENQUIRER. ""Và anh ấy không muốn từ từ lãng phí"""	Fake
Celebrity	Blake Lively về điềm báo ở Hollywood, đạo diễn và có thể tái hợp 'Cô gái buôn chuyện'	Là một trong những sức mạnh điềm báo của Variety, Blake Lively sẽ tham dự một bữa ăn trưa vào thứ Sáu để hỗ trợ cho Liên minh Cứu hộ Trẻ em. Đối với vấn đề của tuần này, nữ diễn viên đã nói về những người phụ nữ ở Hollywood, quay ở New York cho cô gái G Rum Girl, vụng trộm và những gì cô ấy tìm kiếm trong một vai diễn.	Legit
Celebrity	Nicole Kidman Cuối cùng cũng thừa nhận Botox	Theo như chúng tôi có thể nói, Botox đứng đầu danh sách những thú vui tội lỗi của người nổi tiếng: Mọi người đều làm điều đó, nhưng không ai nói về điều đó. Ngoại trừ Nicole Kidman, đó là.	Legit
Celebrity	Tom Cruise lúng túng đặt câu hỏi về con gái Suri	Tom Cruise lịch sự trả lời một câu hỏi về con gái Suri tại buổi ra mắt Xác ướp của anh đêm qua, nhưng dường như không đủ thoải mái khi nói về cô để giải thích câu trả lời.	Legit
Celebrity	Vâng, Kim Kardashian và Kanye est đang ký một Prenup, nhưng Guess ho là chính xác hơn	Việc Kim Kardashian và Kanye est lên kế hoạch ký một thỏa thuận tiền hôn nhân có lẽ sẽ không gây ngạc nhiên cho nhiều người, nhưng những tuyên bố gần đây về người có giá trị hơn có lẽ sẽ có.	Legit
