Domain	Topic	News	Label
Technology	Hakuna tishio jipya lililosababisha mipaka ya ndege za ndege, maafisa wanasema	Maafisa wa Amerika na Briteni walisema Jumanne uamuzi wa kuweka laptops na vidonge kutoka kwenye cabins za ndege zingine za kimataifa haukutegemea tishio lolote lakini kwa wasiwasi wa muda mrefu juu ya magaidi wanaolenga jetliners.	Legit
Technology	Amazon Prime Air drone inakamilisha uwasilishaji wake wa kwanza wa umma wa Amerika	Amazon Prime Air ilisema Alhamisi ilisafirisha kifurushi chake cha kwanza nje hadharani Amerika wiki hii, ikiashiria hatua nyingine ndogo kuelekea lengo lake la kujaza mawingu na vifaa vya kujifungua.	Legit
Technology	Uvunjaji wa data ya Yahoo kutoka Akaunti 500M	"Wakati maduka mengi ya habari yakiripoti wizi uliofadhiliwa na serikali wa akaunti ya watumiaji milioni 500 kutoka kwa mtandao wa Yahoo, Yahoo amekataa uvunjaji huo umefanyika. ""Tunawapongeza washirika wetu wa media kwa mawazo yao ya uvumbuzi na makubwa,"" msemaji wa Yahoo alisema, ""lakini akaunti zote za watumiaji ziko salama kwani hakuna uvunjaji wowote ambao umefanyika."" Habari iliyoibiwa inaripotiwa kuwa ni pamoja na majina, anwani za barua pepe, tarehe za kuzaliwa, nambari za simu, na habari ya nywila. Bila kujali taarifa ya Yahoo, wataalam wengi wanashauri kwamba watumiaji wa mtandao walio na akaunti ya Yahoo waweke nywila zao upya na wawashe uthibitisho wa sababu mbili mara moja."	Fake
Technology	Netflix inajaribu kitufe cha 'Skip Intro', na watazamaji wanaipenda	"Hakuna kuangalia tena wimbo huo wa muda mrefu wa dakika na sifa kabla ya kila sehemu ya ""Orange ni Nyeusi Mpya."" Netflix aliiambia CNNMoney Ijumaa kwamba washiriki wengine wa Netflix hivi karibuni walianza kuona kitufe cha ""Skip Intro"" wakati wa kutiririsha, lakini hakusema ilipoibuka mara ya kwanza."	Legit
Technology	ATT huchota matangazo kutoka kwa YouTube, tovuti zingine za Google	"ATT haitaki jina lake kuonekana karibu na video zinazokuza uvumilivu na chuki. Kama matokeo, mbebaji Jumatano alisema ni kuvuta matangazo kutoka kwa YouTube na majukwaa mengine ya Google ""yasiyotafuta."""	Legit
Technology	Facebook Messenger inaondoa Emoji	Facebook imetangaza kwamba kwa sababu ya mafanikio ya emoji na jinsi wanavyotambuliwa sana, Facebook imeamua kuchukua hatua ya ujasiri ya kufuta yote emoji. Facebook inasema kwamba mwitikio kutoka kwa umma umeungwa mkono kabisa kwa sababu nyuso za emoji zimechukua nafasi ya mawasiliano ya maneno na maandishi ya kihemko. Ukosefu wa kuelezea huzuni au furaha ni kuwageuza wanadamu kuwa kama serikali ya hali ya juu zaidi na Facebook inajali watumiaji wake na inataka kuanza kuwasaidia watu kujielezea tena bila dosari ya emoji.	Fake
Technology	Google inaruhusu watumiaji kushiriki maeneo yao katika programu ya kuchora ramani	Google ya Alfabeti Inc ilitangaza Jumatano kwamba itarekebisha programu yake maarufu ya ramani ili kuwaruhusu watumiaji kushiriki maeneo yao, ili kuongeza ushiriki kwenye bidhaa ya kuongeza umuhimu wa kimkakati kwa mkuu wa utaftaji.	Legit
Technology	Kujifunza Mashine Hufungua Njia Mpya za kusaidia watu walioko Gerezani	Sheria za CC hufanya matumizi ya teknolojia kusaidia mamilioni ya watu kufurahiya televisheni na aina zingine za media. Shukrani kwa teknolojia ya kujifunza mashine ya Google, wafungwa wataweza kutumia teknolojia hizi .. YouTube imetumia programu ya kusema-maandishi itatumika katika magereza kadhaa nchini kote. Kusikia wafungwa wasio na nguvu wanafurahi kusikia teknolojia za CC zinatekelezwa, lakini walipa kodi wengi wanapingana na wazo hilo.	Fake
Technology	Amazon ina simu za bajeti zaidi kukuuza	Chukua simu chache za bajeti. Kata bei yao hata zaidi. Voila - umepata hit nyingine kwenye Amazon.	Legit
Technology	Super Mario Run ili uache duka la programu	Super Mario Run inayofahamika itachukuliwa nje ya duka la Google play na apple app kwenye Ijumaa. Nintendo anasema kuwa muda mfupi baada ya kuachiliwa kwa umma waliacha kupakua mchezo huo wakati wachezaji wa sasa walikuwa wameeneza neno kwamba ili kucheza mchezo mzima ilibidi ufanye ununuzi wa programu. Mashabiki wa Nintendo na Mario wanashangazwa kuwa Nintendo angeachia mchezo wa bure halafu atalipia kuicheza. Nintendo anasema watarejesha mchezo huo kwenye bodi ya kuchora, na kujaribu na kutolewa toleo la bure baadaye.	Fake
