Domain	Topic	News	Label
Politics	Kukiri kwa kihemko kwa Clinton: Hii ni 'chungu na itakuwa kwa muda mrefu'	"Hillary Clinton alimaliza kampeni yake ya kihistoria ya urais Jumatano, akisema ni ""chungu na itakuwa kwa muda mrefu,"" kwani alihimiza uhamishaji wa amani."	Legit
Politics	Friedman alithibitisha kama balozi wa Amerika kwa Israeli	Chaguo la Rais Donald Trump kama balozi wa Israeli, David Friedman, lilithibitishwa na Baraza la Seneti Alhamisi, kushinda upinzani mkali kutoka kwa Democrats.	Legit
Politics	"Korti Kuu ya Amerika imefanya jambo lisilowezekana Jumatatu tarehe 25 Machi 2017 mahakama ya chini kabisa katika ardhi ilipitisha sheria mpya ambazo hazikuheshimu maisha ya mwanadamu. Kwa uamuzi huo mahakama ilisema kwamba wafungwa wote wanaosubiri kunyongwa kwa vifo lazima wauawe mara moja kabla ya kugunduliwa ni watu wangapi wasio na hatia waliachiliwa kutoka kwa mbinu zaidi za ujasusi kama vile DNA zinazotumika kwa kesi za rufaa. Jaji Ruth Ginsburg katika mahojiano alisema, ""Ni wakati wa kuacha kuwasaidia watu kwa maisha yao yote kuwafanya waachiliwe bila ujuzi wa kazi au elimu nyuma kwenye uchumi ambao hataki tena kuunga mkono."""	"""Michelle Pfeiffer"" sasa anafurahiya wakati mwingi wa bure siku hizi. Tulizungumza na kumuelekeza Darren Aronofsky kwa Mahojiano Magainze ambaye alisema kazi ya Hollywood ya Pfeiffer haikuwa ya kushikiliwa baada ya kupata watoto, na alifanya kazi kwa bidii sana kuwa mama na kama mwigizaji. Lakini kwa kuwa sasa wamekua, ameamua kwamba anahitaji likizo ndefu. ""Sijawahi kupoteza upendo wangu kwa kaimu, lakini nahisi ni wakati wa kupumzika na kupumzika, na ninataka kufurahiya ulimwengu na maisha kwa miaka yangu yote kusafiri na kutumia wakati na familia"" alisema Michelle Pfeiffer. Watoto wake Claudia Rose Pfeiffer ni 24, na mtoto wa mtoto wake John Henry Kelley ni 22. Mwaka huu, Michelle Pfeiffer haangalii kwenye vipindi vya luninga au filamu. Anaamini kuwa amefanya kazi ya kutosha na angependa kuona watoto wake wanapata watoto wao."	Fake
Politics	Amerika inaongoza kuachana na mazungumzo ya UN kupiga marufuku silaha za nyuklia	Balozi wa Amerika, New York (CNN) Balozi wa Amerika katika Umoja wa Mataifa Nikki Haley alitangaza Jumatatu kuwa Merika na karibu mataifa mengine 40 hayatashiriki mazungumzo ya kwanza kuhusu makubaliano ya kimataifa ya kupiga marufuku silaha za nyuklia.	Legit
Politics	Texas Lazima Upanue Msamaha wa Adhabu ya Kifo, Mahakama Kuu Inasema	Korti Kuu ya Amerika iliyogawanywa ilisema Texas lazima ipanue msamaha wa adhabu ya kifo kwa watu ambao ni walemavu kielimu, iliamua kwamba serikali hiyo ilikuwa inakiuka Katiba kwa kutumia viwango vya matibabu vya zamani.	Legit
Politics	CNN - Washington Intelligence imejifunza kupitia vyanzo vya kuaminika sana kwamba Warusi wamekamilisha njia za kudhibiti Rais Trump kupitia vifaa vya elektroniki. Ni vifurushi vidogo vya betri ambavyo vinaweza kuingizwa kwenye mifuko ya koti yake au hata ndogo kama misaada ya kusikia au betri ya kutazama ambayo inaweza kuwekwa karibu popote. Wanatumia ishara za elektroniki ambazo zina ujumbe mfupi ambao ni Rais tu anayeweza kusikia. Ajenda yao iko wazi na CIA na FBI wanafuatilia hali hii. Tunajua kwamba Jarred Kushner na Ivanka ni shughuli za siri na wanasaidia kutekeleza hili.	Kwenye mkutano wa Trump viongozi wa tasnia ya Comcast kwenda Verizon na kwa ATT walitangaza kwamba watapiga marufuku kwa pamoja kufunga kabisa mtandao kwa msaada wa Trump. Silicon Valley imetangaza kwamba wimbi la msaada wa Trump linapaswa kuunda mtandao wao wenyewe na kujenga ukuta kuzunguka hilo. Tume ya Mawasiliano ya Shirikisho pia inasaidia mkono wazo la kuruhusu ruhusa zisizo za Trump kutumia mtandao katika siku zijazo. Sheria zimekuwa za kunyakua na viongozi wanatoa madai ambayo yanaeleweka kwa watu wengi na wana msaada mkubwa kutoka kwa umma. Upendeleo nchini unahitaji kupatanishwa na unaanza huko Silicon Valley California.	Fake
Politics	Melania Trump akiajiri mkurugenzi wa mawasiliano	(CNN) Mwanamke wa kwanza Melania Trump akigonga mwanachama muhimu wa wafanyikazi wa mawasiliano wa White House kwa timu yake ya Mrengo wa Mashariki - naibu katibu wa vyombo vya habari Stephanie Grisham atatumika kama mkurugenzi wa kwanza wa mawasiliano, White House ilitangaza Jumatatu.	Legit
Politics	Kwanini Mgombea wa Chama cha Kijani Jill Stein anataka Trump zaidi ya Clinton katika Ikulu ya White House	"Mgombea wa urais wa Chama cha Kijani, Jill Stein, anasema anapenda sana na Donald Trump. Stein alimweleza Mkurugenzi wa Siasa wa Habari wa ABC Rick Klein na Mkurugenzi Msaidizi wa Siasa Shushannah Walshe kwenye podcast ya ""Powerhouse Politics"" ya wiki hii. ""Nina huruma sana kwa Donald Trump na nimechoka kuficha mapenzi ambayo mimi unayo kwa mtu huyo"". Aliendelea kusema kwamba alikutana na yeye miaka kadhaa iliyopita na alitaka kuwa na mapenzi ya kweli na yeye lakini hakufanikiwa kumshawishi kuwa yeye ndiye mwanamke sahihi kwake."	Fake
Politics	Timu ya Hillary Clinton Kujiunga na Takwimu za Wisconsin Kusukuma na Jill Stein	WASHINGTON - Karibu wiki tatu baada ya Siku ya Uchaguzi, Kampeni ya Hillary Clinton ilisema Jumamosi kwamba itashiriki katika mchakato wa kuorodhesha huko Wisconsin iliyochochewa na mgombea wa chama cha tatu na itajiunga na kumbukumbu zozote katika majimbo mengine mawili yaliyogombea sana, Pennsylvania na Michigan.	Legit
Politics	H-1B - Umefukuzwa kazi	"Kuzingatia ahadi za kampeni juu ya uhamiaji, Donald Trump, mfanyabiashara wa Republican na sasa Rais ameiambia Silicon Valley ""H-1B inakwenda mbali. Ni sawa. Sio nzuri kwa Amerika, sio nzuri kwa Wamarekani. Wamarekani wengi wanaangalia kwa kazi kwetu kukuruhusu kuajiri mtu yeyote kutoka nje. "" Silicon Valley haikufurahishwa, haswa juu ya marufuku ya mabishano ya kusafiri ambayo imesababisha wafanyikazi wengi wa kampuni kubwa ya teknolojia kushonwa nje ya Merika wakati wakisafiri kwenda nje ya nchi. Trump, kweli kwa fomu amekuwa osologetic, na anaandika kwamba Amerika inakuja kwanza."	Fake
